subject_id,phase,lag_s,correlation
S01,Pre,-10.000000,-0.457357
S01,Pre,-9.500000,-0.247520
S01,Pre,-9.000000,0.000000
S01,Pre,-8.500000,0.247520
S01,Pre,-8.000000,0.457357
S01,Pre,-7.500000,0.597565
S01,Pre,-7.000000,0.646800
S01,Pre,-6.500000,0.597565
S01,Pre,-6.000000,0.457357
S01,Pre,-5.500000,0.247520
S01,Pre,-5.000000,-0.000000
S01,Pre,-4.500000,-0.247520
S01,Pre,-4.000000,-0.457357
S01,Pre,-3.500000,-0.597565
S01,Pre,-3.000000,-0.646800
S01,Pre,-2.500000,-0.597565
S01,Pre,-2.000000,-0.457357
S01,Pre,-1.500000,-0.247520
S01,Pre,-1.000000,0.000000
S01,Pre,-0.500000,0.247520
S01,Pre,0.000000,0.457357
S01,Pre,0.500000,0.597565
S01,Pre,1.000000,0.646800
S01,Pre,1.500000,0.597565
S01,Pre,2.000000,0.457357
S01,Pre,2.500000,0.247520
S01,Pre,3.000000,0.000000
S01,Pre,3.500000,-0.247520
S01,Pre,4.000000,-0.457357
S01,Pre,4.500000,-0.597565
S01,Pre,5.000000,-0.646800
S01,Pre,5.500000,-0.597565
S01,Pre,6.000000,-0.457357
S01,Pre,6.500000,-0.247520
S01,Pre,7.000000,-0.000000
S01,Pre,7.500000,0.247520
S01,Pre,8.000000,0.457357
S01,Pre,8.500000,0.597565
S01,Pre,9.000000,0.646800
S01,Pre,9.500000,0.597565
S01,Pre,10.000000,0.457357
S02,Pre,-10.000000,-0.457357
S02,Pre,-9.500000,-0.247520
S02,Pre,-9.000000,0.000000
S02,Pre,-8.500000,0.247520
S02,Pre,-8.000000,0.457357
S02,Pre,-7.500000,0.597565
S02,Pre,-7.000000,0.646800
S02,Pre,-6.500000,0.597565
S02,Pre,-6.000000,0.457357
S02,Pre,-5.500000,0.247520
S02,Pre,-5.000000,-0.000000
S02,Pre,-4.500000,-0.247520
S02,Pre,-4.000000,-0.457357
S02,Pre,-3.500000,-0.597565
S02,Pre,-3.000000,-0.646800
S02,Pre,-2.500000,-0.597565
S02,Pre,-2.000000,-0.457357
S02,Pre,-1.500000,-0.247520
S02,Pre,-1.000000,0.000000
S02,Pre,-0.500000,0.247520
S02,Pre,0.000000,0.457357
S02,Pre,0.500000,0.597565
S02,Pre,1.000000,0.646800
S02,Pre,1.500000,0.597565
S02,Pre,2.000000,0.457357
S02,Pre,2.500000,0.247520
S02,Pre,3.000000,0.000000
S02,Pre,3.500000,-0.247520
S02,Pre,4.000000,-0.457357
S02,Pre,4.500000,-0.597565
S02,Pre,5.000000,-0.646800
S02,Pre,5.500000,-0.597565
S02,Pre,6.000000,-0.457357
S02,Pre,6.500000,-0.247520
S02,Pre,7.000000,-0.000000
S02,Pre,7.500000,0.247520
S02,Pre,8.000000,0.457357
S02,Pre,8.500000,0.597565
S02,Pre,9.000000,0.646800
S02,Pre,9.500000,0.597565
S02,Pre,10.000000,0.457357
S03,Pre,-10.000000,-0.457357
S03,Pre,-9.500000,-0.247520
S03,Pre,-9.000000,0.000000
S03,Pre,-8.500000,0.247520
S03,Pre,-8.000000,0.457357
S03,Pre,-7.500000,0.597565
S03,Pre,-7.000000,0.646800
S03,Pre,-6.500000,0.597565
S03,Pre,-6.000000,0.457357
S03,Pre,-5.500000,0.247520
S03,Pre,-5.000000,-0.000000
S03,Pre,-4.500000,-0.247520
S03,Pre,-4.000000,-0.457357
S03,Pre,-3.500000,-0.597565
S03,Pre,-3.000000,-0.646800
S03,Pre,-2.500000,-0.597565
S03,Pre,-2.000000,-0.457357
S03,Pre,-1.500000,-0.247520
S03,Pre,-1.000000,0.000000
S03,Pre,-0.500000,0.247520
S03,Pre,0.000000,0.457357
S03,Pre,0.500000,0.597565
S03,Pre,1.000000,0.646800
S03,Pre,1.500000,0.597565
S03,Pre,2.000000,0.457357
S03,Pre,2.500000,0.247520
S03,Pre,3.000000,0.000000
S03,Pre,3.500000,-0.247520
S03,Pre,4.000000,-0.457357
S03,Pre,4.500000,-0.597565
S03,Pre,5.000000,-0.646800
S03,Pre,5.500000,-0.597565
S03,Pre,6.000000,-0.457357
S03,Pre,6.500000,-0.247520
S03,Pre,7.000000,-0.000000
S03,Pre,7.500000,0.247520
S03,Pre,8.000000,0.457357
S03,Pre,8.500000,0.597565
S03,Pre,9.000000,0.646800
S03,Pre,9.500000,0.597565
S03,Pre,10.000000,0.457357
S04,Pre,-10.000000,-0.457357
S04,Pre,-9.500000,-0.247520
S04,Pre,-9.000000,0.000000
S04,Pre,-8.500000,0.247520
S04,Pre,-8.000000,0.457357
S04,Pre,-7.500000,0.597565
S04,Pre,-7.000000,0.646800
S04,Pre,-6.500000,0.597565
S04,Pre,-6.000000,0.457357
S04,Pre,-5.500000,0.247520
S04,Pre,-5.000000,-0.000000
S04,Pre,-4.500000,-0.247520
S04,Pre,-4.000000,-0.457357
S04,Pre,-3.500000,-0.597565
S04,Pre,-3.000000,-0.646800
S04,Pre,-2.500000,-0.597565
S04,Pre,-2.000000,-0.457357
S04,Pre,-1.500000,-0.247520
S04,Pre,-1.000000,0.000000
S04,Pre,-0.500000,0.247520
S04,Pre,0.000000,0.457357
S04,Pre,0.500000,0.597565
