subject_id,phase,lag_s,correlation
S01,Pre,-10.000000,-0.522693
S01,Pre,-9.500000,-0.282880
S01,Pre,-9.000000,0.000000
S01,Pre,-8.500000,0.282880
S01,Pre,-8.000000,0.522693
S01,Pre,-7.500000,0.682932
S01,Pre,-7.000000,0.739200
S01,Pre,-6.500000,0.682932
S01,Pre,-6.000000,0.522693
S01,Pre,-5.500000,0.282880
S01,Pre,-5.000000,-0.000000
S01,Pre,-4.500000,-0.282880
S01,Pre,-4.000000,-0.522693
S01,Pre,-3.500000,-0.682932
S01,Pre,-3.000000,-0.739200
S01,Pre,-2.500000,-0.682932
S01,Pre,-2.000000,-0.522693
S01,Pre,-1.500000,-0.282880
S01,Pre,-1.000000,0.000000
S01,Pre,-0.500000,0.282880
S01,Pre,0.000000,0.522693
S01,Pre,0.500000,0.682932
S01,Pre,1.000000,0.739200
S01,Pre,1.500000,0.682932
S01,Pre,2.000000,0.522693
S01,Pre,2.500000,0.282880
S01,Pre,3.000000,0.000000
S01,Pre,3.500000,-0.282880
S01,Pre,4.000000,-0.522693
S01,Pre,4.500000,-0.682932
S01,Pre,5.000000,-0.739200
S01,Pre,5.500000,-0.682932
S01,Pre,6.000000,-0.522693
S01,Pre,6.500000,-0.282880
S01,Pre,7.000000,-0.000000
S01,Pre,7.500000,0.282880
S01,Pre,8.000000,0.522693
S01,Pre,8.500000,0.682932
S01,Pre,9.000000,0.739200
S01,Pre,9.500000,0.682932
S01,Pre,10.000000,0.522693
S02,Pre,-10.000000,-0.522693
S02,Pre,-9.500000,-0.282880
S02,Pre,-9.000000,0.000000
S02,Pre,-8.500000,0.282880
S02,Pre,-8.000000,0.522693
S02,Pre,-7.500000,0.682932
S02,Pre,-7.000000,0.739200
S02,Pre,-6.500000,0.682932
S02,Pre,-6.000000,0.522693
S02,Pre,-5.500000,0.282880
S02,Pre,-5.000000,-0.000000
S02,Pre,-4.500000,-0.282880
S02,Pre,-4.000000,-0.522693
S02,Pre,-3.500000,-0.682932
S02,Pre,-3.000000,-0.739200
S02,Pre,-2.500000,-0.682932
S02,Pre,-2.000000,-0.522693
S02,Pre,-1.500000,-0.282880
S02,Pre,-1.000000,0.000000
S02,Pre,-0.500000,0.282880
S02,Pre,0.000000,0.522693
S02,Pre,0.500000,0.682932
S02,Pre,1.000000,0.739200
S02,Pre,1.500000,0.682932
S02,Pre,2.000000,0.522693
S02,Pre,2.500000,0.282880
S02,Pre,3.000000,0.000000
S02,Pre,3.500000,-0.282880
S02,Pre,4.000000,-0.522693
S02,Pre,4.500000,-0.682932
S02,Pre,5.000000,-0.739200
S02,Pre,5.500000,-0.682932
S02,Pre,6.000000,-0.522693
S02,Pre,6.500000,-0.282880
S02,Pre,7.000000,-0.000000
S02,Pre,7.500000,0.282880
S02,Pre,8.000000,0.522693
S02,Pre,8.500000,0.682932
S02,Pre,9.000000,0.739200
S02,Pre,9.500000,0.682932
S02,Pre,10.000000,0.522693
S03,Pre,-10.000000,-0.522693
S03,Pre,-9.500000,-0.282880
S03,Pre,-9.000000,0.000000
S03,Pre,-8.500000,0.282880
S03,Pre,-8.000000,0.522693
S03,Pre,-7.500000,0.682932
S03,Pre,-7.000000,0.739200
S03,Pre,-6.500000,0.682932
S03,Pre,-6.000000,0.522693
S03,Pre,-5.500000,0.282880
S03,Pre,-5.000000,-0.000000
S03,Pre,-4.500000,-0.282880
S03,Pre,-4.000000,-0.522693
S03,Pre,-3.500000,-0.682932
S03,Pre,-3.000000,-0.739200
S03,Pre,-2.500000,-0.682932
S03,Pre,-2.000000,-0.522693
S03,Pre,-1.500000,-0.282880
S03,Pre,-1.000000,0.000000
S03,Pre,-0.500000,0.282880
S03,Pre,0.000000,0.522693
S03,Pre,0.500000,0.682932
S03,Pre,1.000000,0.739200
S03,Pre,1.500000,0.682932
S03,Pre,2.000000,0.522693
S03,Pre,2.500000,0.282880
S03,Pre,3.000000,0.000000
S03,Pre,3.500000,-0.282880
S03,Pre,4.000000,-0.522693
S03,Pre,4.500000,-0.682932
S03,Pre,5.000000,-0.739200
S03,Pre,5.500000,-0.682932
S03,Pre,6.000000,-0.522693
S03,Pre,6.500000,-0.282880
S03,Pre,7.000000,-0.000000
S03,Pre,7.500000,0.282880
S03,Pre,8.000000,0.522693
S03,Pre,8.500000,0.682932
S03,Pre,9.000000,0.739200
S03,Pre,9.500000,0.682932
S03,Pre,10.000000,0.522693
S04,Pre,-10.000000,-0.522693
S04,Pre,-9.500000,-0.282880
S04,Pre,-9.000000,0.000000
S04,Pre,-8.500000,0.282880
S04,Pre,-8.000000,0.522693
S04,Pre,-7.500000,0.682932
S04,Pre,-7.000000,0.739200
S04,Pre,-6.500000,0.682932
S04,Pre,-6.000000,0.522693
S04,Pre,-5.500000,0.282880
S04,Pre,-5.000000,-0.000000
S04,Pre,-4.500000,-0.282880
S04,Pre,-4.000000,-0.522693
S04,Pre,-3.500000,-0.682932
S04,Pre,-3.000000,-0.739200
S04,Pre,-2.500000,-0.682932
S04,Pre,-2.000000,-0.522693
S04,Pre,-1.500000,-0.282880
S04,Pre,-1.000000,0.000000
S04,Pre,-0.500000,0.282880
S04,Pre,0.000000,0.522693
S04,Pre,0.500000,0.682932
S04,Pre,1.000000,0.739200
S04,Pre,1.500000,0.682932
S04,Pre,2.000000,0.522693
S04,Pre,2.500000,0.282880
S04,Pre,3.000000,0.000000
S04,Pre,3.500000,-0.282880
S04,Pre,4.000000,-0.522693
S04,Pre,4.500000,-0.682932
S04,Pre,5.000000,-0.739200
S04,Pre,5.500000,-0.682932
S04,Pre,6.000000,-0.522693
S04,Pre,6.500000,-0.282880
S04,Pre,7.000000,-0.000000
S04,Pre,7.500000,0.282880
S04,Pre,8.000000,0.522693
S04,Pre,8.500000,0.682932
S04,Pre,9.000000,0.739200
S04,Pre,9.500000,0.682932
S04,Pre,10.000000,0.522693
S05,Pre,-10.000000,-0.522693
S05,Pre,-9.500000,-0.282880
S05,Pre,-9.000000,0.000000
S05,Pre,-8.500000,0.282880
S05,Pre,-8.000000,0.522693
S05,Pre,-7.500000,0.682932
S05,Pre,-7.000000,0.739200
S05,Pre,-6.500000,0.682932
S05,Pre,-6.000000,0.522693
S05,Pre,-5.500000,0.282880
S05,Pre,-5.000000,-0.000000
S05,Pre,-4.500000,-0.282880
S05,Pre,-4.000000,-0.522693
S05,Pre,-3.500000,-0.682932
S05,Pre,-3.000000,-0.739200
S05,Pre,-2.500000,-0.682932
S05,Pre,-2.000000,-0.522693
S05,Pre,-1.500000,-0.282880
S05,Pre,-1.000000,0.000000
S05,Pre,-0.500000,0.282880
S05,Pre,0.000000,0.522693
S05,Pre,0.500000,0.682932
S05,Pre,1.000000,0.739200
S05,Pre,1.500000,0.682932
S05,Pre,2.000000,0.522693
S05,Pre,2.500000,0.282880
S05,Pre,3.000000,0.000000
S05,Pre,3.500000,-0.282880
S05,Pre,4.000000,-0.522693
S05,Pre,4.500000,-0.682932
S05,Pre,5.000000,-0.739200
S05,Pre,5.500000,-0.682932
S05,Pre,6.000000,-0.522693
S05,Pre,6.500000,-0.282880
S05,Pre,7.000000,-0.000000
S05,Pre,7.500000,0.282880
S05,Pre,8.000000,0.522693
S05,Pre,8.500000,0.682932
S05,Pre,9.000000,0.739200
S05,Pre,9.500000,0.682932
S05,Pre,10.000000,0.522693
S06,Pre,-10.000000,-0.522693
S06,Pre,-9.500000,-0.282880
S06,Pre,-9.000000,0.000000
S06,Pre,-8.500000,0.282880
S06,Pre,-8.000000,0.522693
S06,Pre,-7.500000,0.682932
S06,Pre,-7.000000,0.739200
S06,Pre,-6.500000,0.682932
S06,Pre,-6.000000,0.522693
S06,Pre,-5.500000,0.282880
S06,Pre,-5.000000,-0.000000
S06,Pre,-4.500000,-0.282880
S06,Pre,-4.000000,-0.522693
S06,Pre,-3.500000,-0.682932
S06,Pre,-3.000000,-0.739200
S06,Pre,-2.500000,-0.682932
S06,Pre,-2.000000,-0.522693
S06,Pre,-1.500000,-0.282880
S06,Pre,-1.000000,0.000000
S06,Pre,-0.500000,0.282880
S06,Pre,0.000000,0.522693
