metric,p_Stim_Pre,p_Post_Pre,dz_Stim_Pre,dz_Post_Pre,temporal_type,canonical_temporal_type
rhomax_MATLAB,0.0003,0.0001,1.01,1.14,A,A
Coh_mean,0.6705,0.8986,0.08,0.1,D,D
BRS_TF_mean,0.0269,0.0537,-0.63,-0.7,B,B
BRS_seq_all,0.0,0.2462,-0.74,-0.3,B,B
BRS_seq_down,0.0256,0.6397,-0.52,0.23,B,B
BRS_seq_up,0.0,0.0898,-0.68,-0.39,B,B
BEI_all,0.4683,0.6095,-0.21,-0.09,D,D
BEI_down,0.5226,0.7019,-0.12,-0.05,D,D
BEI_up,0.3927,0.7987,-0.19,-0.04,D,D
AC,0.4171,0.7019,-0.35,0.13,D,D
DC,0.0539,0.2288,0.49,-0.29,D,D
DC_AC_ratio,0.1815,0.4171,-0.33,0.27,D,D
GC_F_BP_to_RRI,0.004,0.3247,0.77,0.25,B,B
GC_F_RRI_to_SBP,0.0182,0.1084,0.69,0.36,B,B
SGC_RRI_to_SBP_HF,0.4951,0.5798,0.26,-0.14,D,D
SGC_RRI_to_SBP_LF,0.766,0.5226,-0.1,-0.17,D,D
SGC_RRI_to_SBP_Mayer,0.3927,0.3692,-0.24,-0.26,D,D
SGC_RRI_to_SBP_VLF,1.0,0.3247,-0.02,0.19,D,D
SGC_RRI_to_SBP_total,0.3927,0.865,0.3,0.0,D,D
SGC_SBP_to_RRI_HF,0.8986,0.0599,0.07,-0.49,D,D
SGC_SBP_to_RRI_LF,0.2462,0.0159,0.41,0.66,C,C
SGC_SBP_to_RRI_Mayer,0.4951,0.0304,0.36,0.61,C,C
SGC_SBP_to_RRI_VLF,0.9323,0.6397,0.04,-0.04,D,D
SGC_SBP_to_RRI_total,0.7337,0.1084,0.26,-0.34,D,D
GC3_F_PTT_to_RRI,0.4037,0.5282,-0.19,0.34,D,D
GC3_F_PTT_to_SBP,0.7057,0.8603,0.01,0.21,D,D
GC3_F_RRI_to_PTT,0.0034,0.0833,0.85,0.34,B,B
GC3_F_RRI_to_SBP,0.0739,0.2114,0.53,0.39,D,D
GC3_F_SBP_to_PTT,0.5966,0.8209,0.04,-0.01,D,D
GC3_F_SBP_to_RRI,0.0443,0.782,0.44,-0.01,B,B
PDC_PTT_to_RRI_Mayer,0.0739,0.9799,-0.46,0.16,D,D
PDC_PTT_to_SBP_Mayer,0.8603,0.0934,-0.19,-0.35,D,D
PDC_RRI_to_SBP_Mayer,0.1167,0.2744,-0.45,-0.33,D,D
PDC_SBP_to_RRI_Mayer,0.4037,0.3755,0.23,0.13,D,D
rho_u,0.1674,0.0028,-0.18,-0.6,C,C
sigma2_RRI,0.3465,1.0,-0.4,0.08,D,D
sigma2_SBP,0.8986,0.766,-0.12,-0.21,D,D
Snn_RRI_Mayer,0.2121,0.3692,-0.31,-0.27,D,D
innov_RRI_from_SBP_frac_Mayer,0.4683,0.0237,0.31,0.63,C,C
innov_RRI_own_frac_Mayer,0.4683,0.0237,-0.31,-0.63,C,C
SNR_openloop_Mayer,0.5509,0.9661,0.2,0.1,D,D
SNR_openloop_Mayer_dB,0.6705,0.7987,0.12,0.1,D,D
Snn_Syy_ratio_Mayer,0.7987,0.2645,-0.11,-0.12,D,D
Snn_openloop_Mayer,0.2288,0.3465,0.23,-0.05,D,D
gamma2_mean_Mayer,0.6705,0.8986,0.08,0.1,D,D
PTT_mean,0.9799,0.8999,0.03,0.05,D,D
