frequency_hz,t_000,t_005,t_010,t_015,t_020,t_025,t_030,t_035,t_040,t_045,t_050,t_055,t_060,t_065,t_070,t_075,t_080,t_085,t_090,t_095,t_100,t_105,t_110,t_115,t_120,t_125,t_130,t_135,t_140,t_145,t_150,t_155,t_160,t_165,t_170,t_175,t_180,t_185,t_190,t_195,t_200,t_205,t_210,t_215,t_220,t_225,t_230,t_235,t_240,t_245,t_250,t_255,t_260,t_265,t_270,t_275,t_280,t_285,t_290,t_295,t_300
0.040000,0.850985,0.850821,0.850330,0.849517,0.848392,0.846966,0.845256,0.843280,0.841059,0.838619,0.835985,0.833188,0.830256,0.827223,0.824121,0.820985,0.817850,0.814748,0.811715,0.808783,0.805985,0.803352,0.800912,0.798691,0.796715,0.795005,0.793579,0.792454,0.791641,0.791150,0.790985,0.791150,0.791641,0.792454,0.793579,0.795005,0.796715,0.798691,0.800912,0.803352,0.805985,0.808783,0.811715,0.814748,0.817850,0.820985,0.824121,0.827223,0.830256,0.833188,0.835985,0.838619,0.841059,0.843280,0.845256,0.846966,0.848392,0.849517,0.850330,0.850821,0.850985
0.047660,0.865623,0.865458,0.864967,0.864154,0.863029,0.861603,0.859893,0.857917,0.855697,0.853256,0.850623,0.847825,0.844893,0.841860,0.838758,0.835623,0.832487,0.829385,0.826352,0.823421,0.820623,0.817989,0.815549,0.813328,0.811352,0.809642,0.808216,0.807091,0.806278,0.805787,0.805623,0.805787,0.806278,0.807091,0.808216,0.809642,0.811352,0.813328,0.815549,0.817989,0.820623,0.823421,0.826352,0.829385,0.832487,0.835623,0.838758,0.841860,0.844893,0.847825,0.850623,0.853256,0.855697,0.857917,0.859893,0.861603,0.863029,0.864154,0.864967,0.865458,0.865623
0.055319,0.881062,0.880898,0.880406,0.879594,0.878468,0.877043,0.875333,0.873356,0.871136,0.868696,0.866062,0.863264,0.860333,0.857299,0.854198,0.851062,0.847926,0.844825,0.841791,0.838860,0.836062,0.833428,0.830988,0.828768,0.826791,0.825081,0.823656,0.822530,0.821718,0.821226,0.821062,0.821226,0.821718,0.822530,0.823656,0.825081,0.826791,0.828768,0.830988,0.833428,0.836062,0.838860,0.841791,0.844825,0.847926,0.851062,0.854198,0.857299,0.860333,0.863264,0.866062,0.868696,0.871136,0.873356,0.875333,0.877043,0.878468,0.879594,0.880406,0.880898,0.881062
0.062979,0.896484,0.896319,0.895828,0.895015,0.893890,0.892464,0.890754,0.888778,0.886558,0.884117,0.881484,0.878686,0.875754,0.872721,0.869620,0.866484,0.863348,0.860246,0.857213,0.854282,0.851484,0.848850,0.846410,0.844189,0.842213,0.840503,0.839077,0.837952,0.837139,0.836648,0.836484,0.836648,0.837139,0.837952,0.839077,0.840503,0.842213,0.844189,0.846410,0.848850,0.851484,0.854282,0.857213,0.860246,0.863348,0.866484,0.869620,0.872721,0.875754,0.878686,0.881484,0.884117,0.886558,0.888778,0.890754,0.892464,0.893890,0.895015,0.895828,0.896319,0.896484
0.070638,0.910917,0.910753,0.910262,0.909449,0.908324,0.906898,0.905188,0.903212,0.900991,0.898551,0.895917,0.893120,0.890188,0.887155,0.884053,0.880917,0.877782,0.874680,0.871647,0.868715,0.865917,0.863284,0.860844,0.858623,0.856647,0.854937,0.853511,0.852386,0.851573,0.851082,0.850917,0.851082,0.851573,0.852386,0.853511,0.854937,0.856647,0.858623,0.860844,0.863284,0.865917,0.868715,0.871647,0.874680,0.877782,0.880917,0.884053,0.887155,0.890188,0.893120,0.895917,0.898551,0.900991,0.903212,0.905188,0.906898,0.908324,0.909449,0.910262,0.910753,0.910917
0.078298,0.923338,0.923174,0.922683,0.921870,0.920745,0.919319,0.917609,0.915633,0.913412,0.910972,0.908338,0.905540,0.902609,0.899576,0.896474,0.893338,0.890202,0.887101,0.884068,0.881136,0.878338,0.875705,0.873264,0.871044,0.869068,0.867358,0.865932,0.864807,0.863994,0.863503,0.863338,0.863503,0.863994,0.864807,0.865932,0.867358,0.869068,0.871044,0.873264,0.875705,0.878338,0.881136,0.884068,0.887101,0.890202,0.893338,0.896474,0.899576,0.902609,0.905540,0.908338,0.910972,0.913412,0.915633,0.917609,0.919319,0.920745,0.921870,0.922683,0.923174,0.923338
0.085957,0.932785,0.932620,0.932129,0.931316,0.930191,0.928765,0.927055,0.925079,0.922858,0.920418,0.917785,0.914987,0.912055,0.909022,0.905920,0.902785,0.899649,0.896547,0.893514,0.890582,0.887785,0.885151,0.882711,0.880490,0.878514,0.876804,0.875378,0.874253,0.873440,0.872949,0.872785,0.872949,0.873440,0.874253,0.875378,0.876804,0.878514,0.880490,0.882711,0.885151,0.887785,0.890582,0.893514,0.896547,0.899649,0.902785,0.905920,0.909022,0.912055,0.914987,0.917785,0.920418,0.922858,0.925079,0.927055,0.928765,0.930191,0.931316,0.932129,0.932620,0.932785
0.093617,0.938480,0.938316,0.937824,0.937012,0.935886,0.934461,0.932750,0.930774,0.928554,0.926113,0.923480,0.920682,0.917750,0.914717,0.911616,0.908480,0.905344,0.902243,0.899209,0.896278,0.893480,0.890846,0.888406,0.886186,0.884209,0.882499,0.881074,0.879948,0.879135,0.878644,0.878480,0.878644,0.879135,0.879948,0.881074,0.882499,0.884209,0.886186,0.888406,0.890846,0.893480,0.896278,0.899209,0.902243,0.905344,0.908480,0.911616,0.914717,0.917750,0.920682,0.923480,0.926113,0.928554,0.930774,0.932750,0.934461,0.935886,0.937012,0.937824,0.938316,0.938480
0.101277,0.939939,0.939775,0.939283,0.938471,0.937345,0.935920,0.934209,0.932233,0.930013,0.927572,0.924939,0.922141,0.919209,0.916176,0.913075,0.909939,0.906803,0.903702,0.900668,0.897737,0.894939,0.892305,0.889865,0.887645,0.885668,0.883958,0.882533,0.881407,0.880594,0.880103,0.879939,0.880103,0.880594,0.881407,0.882533,0.883958,0.885668,0.887645,0.889865,0.892305,0.894939,0.897737,0.900668,0.903702,0.906803,0.909939,0.913075,0.916176,0.919209,0.922141,0.924939,0.927572,0.930013,0.932233,0.934209,0.935920,0.937345,0.938471,0.939283,0.939775,0.939939
0.108936,0.937035,0.936871,0.936380,0.935567,0.934441,0.933016,0.931306,0.929329,0.927109,0.924669,0.922035,0.919237,0.916306,0.913272,0.910171,0.907035,0.903899,0.900798,0.897765,0.894833,0.892035,0.889402,0.886961,0.884741,0.882765,0.881054,0.879629,0.878503,0.877691,0.877199,0.877035,0.877199,0.877691,0.878503,0.879629,0.881054,0.882765,0.884741,0.886961,0.889402,0.892035,0.894833,0.897765,0.900798,0.903899,0.907035,0.910171,0.913272,0.916306,0.919237,0.922035,0.924669,0.927109,0.929329,0.931306,0.933016,0.934441,0.935567,0.936380,0.936871,0.937035
0.116596,0.930019,0.929855,0.929364,0.928551,0.927426,0.926000,0.924290,0.922314,0.920093,0.917653,0.915019,0.912221,0.909290,0.906257,0.903155,0.900019,0.896883,0.893782,0.890749,0.887817,0.885019,0.882386,0.879945,0.877725,0.875749,0.874039,0.872613,0.871488,0.870675,0.870184,0.870019,0.870184,0.870675,0.871488,0.872613,0.874039,0.875749,0.877725,0.879945,0.882386,0.885019,0.887817,0.890749,0.893782,0.896883,0.900019,0.903155,0.906257,0.909290,0.912221,0.915019,0.917653,0.920093,0.922314,0.924290,0.926000,0.927426,0.928551,0.929364,0.929855,0.930019
0.124255,0.919484,0.919319,0.918828,0.918015,0.916890,0.915464,0.913754,0.911778,0.909558,0.907117,0.904484,0.901686,0.898754,0.895721,0.892620,0.889484,0.886348,0.883246,0.880213,0.877282,0.874484,0.871850,0.869410,0.867189,0.865213,0.863503,0.862077,0.860952,0.860139,0.859648,0.859484,0.859648,0.860139,0.860952,0.862077,0.863503,0.865213,0.867189,0.869410,0.871850,0.874484,0.877282,0.880213,0.883246,0.886348,0.889484,0.892620,0.895721,0.898754,0.901686,0.904484,0.907117,0.909558,0.911778,0.913754,0.915464,0.916890,0.918015,0.918828,0.919319,0.919484
0.131915,0.906279,0.906115,0.905624,0.904811,0.903686,0.902260,0.900550,0.898574,0.896353,0.893913,0.891279,0.888481,0.885550,0.882517,0.879415,0.876279,0.873143,0.870042,0.867009,0.864077,0.861279,0.858646,0.856205,0.853985,0.852009,0.850299,0.848873,0.847748,0.846935,0.846444,0.846279,0.846444,0.846935,0.847748,0.848873,0.850299,0.852009,0.853985,0.856205,0.858646,0.861279,0.864077,0.867009,0.870042,0.873143,0.876279,0.879415,0.882517,0.885550,0.888481,0.891279,0.893913,0.896353,0.898574,0.900550,0.902260,0.903686,0.904811,0.905624,0.906115,0.906279
0.139574,0.891403,0.891238,0.890747,0.889934,0.888809,0.887384,0.885673,0.883697,0.881477,0.879036,0.876403,0.873605,0.870673,0.867640,0.864539,0.861403,0.858267,0.855165,0.852132,0.849201,0.846403,0.843769,0.841329,0.839108,0.837132,0.835422,0.833996,0.832871,0.832058,0.831567,0.831403,0.831567,0.832058,0.832871,0.833996,0.835422,0.837132,0.839108,0.841329,0.843769,0.846403,0.849201,0.852132,0.855165,0.858267,0.861403,0.864539,0.867640,0.870673,0.873605,0.876403,0.879036,0.881477,0.883697,0.885673,0.887384,0.888809,0.889934,0.890747,0.891238,0.891403
0.147234,0.875873,0.875709,0.875218,0.874405,0.873280,0.871854,0.870144,0.868168,0.865947,0.863507,0.860873,0.858075,0.855144,0.852111,0.849009,0.845873,0.842737,0.839636,0.836603,0.833671,0.830873,0.828240,0.825799,0.823579,0.821603,0.819892,0.818467,0.817341,0.816529,0.816038,0.815873,0.816038,0.816529,0.817341,0.818467,0.819892,0.821603,0.823579,0.825799,0.828240,0.830873,0.833671,0.836603,0.839636,0.842737,0.845873,0.849009,0.852111,0.855144,0.858075,0.860873,0.863507,0.865947,0.868168,0.870144,0.871854,0.873280,0.874405,0.875218,0.875709,0.875873
