frequency_hz,t_000,t_005,t_010,t_015,t_020,t_025,t_030,t_035,t_040,t_045,t_050,t_055,t_060,t_065,t_070,t_075,t_080,t_085,t_090,t_095,t_100,t_105,t_110,t_115,t_120,t_125,t_130,t_135,t_140,t_145,t_150,t_155,t_160,t_165,t_170,t_175,t_180,t_185,t_190,t_195,t_200,t_205,t_210,t_215,t_220,t_225,t_230,t_235,t_240,t_245,t_250,t_255,t_260,t_265,t_270,t_275,t_280,t_285,t_290,t_295,t_300
0.040000,0.840985,0.840821,0.840330,0.839517,0.838392,0.836966,0.835256,0.833280,0.831059,0.828619,0.825985,0.823188,0.820256,0.817223,0.814121,0.810985,0.807850,0.804748,0.801715,0.798783,0.795985,0.793352,0.790912,0.788691,0.786715,0.785005,0.783579,0.782454,0.781641,0.781150,0.780985,0.781150,0.781641,0.782454,0.783579,0.785005,0.786715,0.788691,0.790912,0.793352,0.795985,0.798783,0.801715,0.804748,0.807850,0.810985,0.814121,0.817223,0.820256,0.823188,0.825985,0.828619,0.831059,0.833280,0.835256,0.836966,0.838392,0.839517,0.840330,0.840821,0.840985
0.047660,0.855623,0.855458,0.854967,0.854154,0.853029,0.851603,0.849893,0.847917,0.845697,0.843256,0.840623,0.837825,0.834893,0.831860,0.828758,0.825623,0.822487,0.819385,0.816352,0.813421,0.810623,0.807989,0.805549,0.803328,0.801352,0.799642,0.798216,0.797091,0.796278,0.795787,0.795623,0.795787,0.796278,0.797091,0.798216,0.799642,0.801352,0.803328,0.805549,0.807989,0.810623,0.813421,0.816352,0.819385,0.822487,0.825623,0.828758,0.831860,0.834893,0.837825,0.840623,0.843256,0.845697,0.847917,0.849893,0.851603,0.853029,0.854154,0.854967,0.855458,0.855623
0.055319,0.871062,0.870898,0.870406,0.869594,0.868468,0.867043,0.865333,0.863356,0.861136,0.858696,0.856062,0.853264,0.850333,0.847299,0.844198,0.841062,0.837926,0.834825,0.831791,0.828860,0.826062,0.823428,0.820988,0.818768,0.816791,0.815081,0.813656,0.812530,0.811718,0.811226,0.811062,0.811226,0.811718,0.812530,0.813656,0.815081,0.816791,0.818768,0.820988,0.823428,0.826062,0.828860,0.831791,0.834825,0.837926,0.841062,0.844198,0.847299,0.850333,0.853264,0.856062,0.858696,0.861136,0.863356,0.865333,0.867043,0.868468,0.869594,0.870406,0.870898,0.871062
0.062979,0.886484,0.886319,0.885828,0.885015,0.883890,0.882464,0.880754,0.878778,0.876558,0.874117,0.871484,0.868686,0.865754,0.862721,0.859620,0.856484,0.853348,0.850246,0.847213,0.844282,0.841484,0.838850,0.836410,0.834189,0.832213,0.830503,0.829077,0.827952,0.827139,0.826648,0.826484,0.826648,0.827139,0.827952,0.829077,0.830503,0.832213,0.834189,0.836410,0.838850,0.841484,0.844282,0.847213,0.850246,0.853348,0.856484,0.859620,0.862721,0.865754,0.868686,0.871484,0.874117,0.876558,0.878778,0.880754,0.882464,0.883890,0.885015,0.885828,0.886319,0.886484
0.070638,0.900917,0.900753,0.900262,0.899449,0.898324,0.896898,0.895188,0.893212,0.890991,0.888551,0.885917,0.883120,0.880188,0.877155,0.874053,0.870917,0.867782,0.864680,0.861647,0.858715,0.855917,0.853284,0.850844,0.848623,0.846647,0.844937,0.843511,0.842386,0.841573,0.841082,0.840917,0.841082,0.841573,0.842386,0.843511,0.844937,0.846647,0.848623,0.850844,0.853284,0.855917,0.858715,0.861647,0.864680,0.867782,0.870917,0.874053,0.877155,0.880188,0.883120,0.885917,0.888551,0.890991,0.893212,0.895188,0.896898,0.898324,0.899449,0.900262,0.900753,0.900917
0.078298,0.913338,0.913174,0.912683,0.911870,0.910745,0.909319,0.907609,0.905633,0.903412,0.900972,0.898338,0.895540,0.892609,0.889576,0.886474,0.883338,0.880202,0.877101,0.874068,0.871136,0.868338,0.865705,0.863264,0.861044,0.859068,0.857358,0.855932,0.854807,0.853994,0.853503,0.853338,0.853503,0.853994,0.854807,0.855932,0.857358,0.859068,0.861044,0.863264,0.865705,0.868338,0.871136,0.874068,0.877101,0.880202,0.883338,0.886474,0.889576,0.892609,0.895540,0.898338,0.900972,0.903412,0.905633,0.907609,0.909319,0.910745,0.911870,0.912683,0.913174,0.913338
0.085957,0.922785,0.922620,0.922129,0.921316,0.920191,0.918765,0.917055,0.915079,0.912858,0.910418,0.907785,0.904987,0.902055,0.899022,0.895920,0.892785,0.889649,0.886547,0.883514,0.880582,0.877785,0.875151,0.872711,0.870490,0.868514,0.866804,0.865378,0.864253,0.863440,0.862949,0.862785,0.862949,0.863440,0.864253,0.865378,0.866804,0.868514,0.870490,0.872711,0.875151,0.877785,0.880582,0.883514,0.886547,0.889649,0.892785,0.895920,0.899022,0.902055,0.904987,0.907785,0.910418,0.912858,0.915079,0.917055,0.918765,0.920191,0.921316,0.922129,0.922620,0.922785
0.093617,0.928480,0.928316,0.927824,0.927012,0.925886,0.924461,0.922750,0.920774,0.918554,0.916113,0.913480,0.910682,0.907750,0.904717,0.901616,0.898480,0.895344,0.892243,0.889209,0.886278,0.883480,0.880846,0.878406,0.876186,0.874209,0.872499,0.871074,0.869948,0.869135,0.868644,0.868480,0.868644,0.869135,0.869948,0.871074,0.872499,0.874209,0.876186,0.878406,0.880846,0.883480,0.886278,0.889209,0.892243,0.895344,0.898480,0.901616,0.904717,0.907750,0.910682,0.913480,0.916113,0.918554,0.920774,0.922750,0.924461,0.925886,0.927012,0.927824,0.928316,0.928480
0.101277,0.929939,0.929775,0.929283,0.928471,0.927345,0.925920,0.924209,0.922233,0.920013,0.917572,0.914939,0.912141,0.909209,0.906176,0.903075,0.899939,0.896803,0.893702,0.890668,0.887737,0.884939,0.882305,0.879865,0.877645,0.875668,0.873958,0.872533,0.871407,0.870594,0.870103,0.869939,0.870103,0.870594,0.871407,0.872533,0.873958,0.875668,0.877645,0.879865,0.882305,0.884939,0.887737,0.890668,0.893702,0.896803,0.899939,0.903075,0.906176,0.909209,0.912141,0.914939,0.917572,0.920013,0.922233,0.924209,0.925920,0.927345,0.928471,0.929283,0.929775,0.929939
0.108936,0.927035,0.926871,0.926380,0.925567,0.924441,0.923016,0.921306,0.919329,0.917109,0.914669,0.912035,0.909237,0.906306,0.903272,0.900171,0.897035,0.893899,0.890798,0.887765,0.884833,0.882035,0.879402,0.876961,0.874741,0.872765,0.871054,0.869629,0.868503,0.867691,0.867199,0.867035,0.867199,0.867691,0.868503,0.869629,0.871054,0.872765,0.874741,0.876961,0.879402,0.882035,0.884833,0.887765,0.890798,0.893899,0.897035,0.900171,0.903272,0.906306,0.909237,0.912035,0.914669,0.917109,0.919329,0.921306,0.923016,0.924441,0.925567,0.926380,0.926871,0.927035
0.116596,0.920019,0.919855,0.919364,0.918551,0.917426,0.916000,0.914290,0.912314,0.910093,0.907653,0.905019,0.902221,0.899290,0.896257,0.893155,0.890019,0.886883,0.883782,0.880749,0.877817,0.875019,0.872386,0.869945,0.867725,0.865749,0.864039,0.862613,0.861488,0.860675,0.860184,0.860019,0.860184,0.860675,0.861488,0.862613,0.864039,0.865749,0.867725,0.869945,0.872386,0.875019,0.877817,0.880749,0.883782,0.886883,0.890019,0.893155,0.896257,0.899290,0.902221,0.905019,0.907653,0.910093,0.912314,0.914290,0.916000,0.917426,0.918551,0.919364,0.919855,0.920019
0.124255,0.909484,0.909319,0.908828,0.908015,0.906890,0.905464,0.903754,0.901778,0.899558,0.897117,0.894484,0.891686,0.888754,0.885721,0.882620,0.879484,0.876348,0.873246,0.870213,0.867282,0.864484,0.861850,0.859410,0.857189,0.855213,0.853503,0.852077,0.850952,0.850139,0.849648,0.849484,0.849648,0.850139,0.850952,0.852077,0.853503,0.855213,0.857189,0.859410,0.861850,0.864484,0.867282,0.870213,0.873246,0.876348,0.879484,0.882620,0.885721,0.888754,0.891686,0.894484,0.897117,0.899558,0.901778,0.903754,0.905464,0.906890,0.908015,0.908828,0.909319,0.909484
0.131915,0.896279,0.896115,0.895624,0.894811,0.893686,0.892260,0.890550,0.888574,0.886353,0.883913,0.881279,0.878481,0.875550,0.872517,0.869415,0.866279,0.863143,0.860042,0.857009,0.854077,0.851279,0.848646,0.846205,0.843985,0.842009,0.840299,0.838873,0.837748,0.836935,0.836444,0.836279,0.836444,0.836935,0.837748,0.838873,0.840299,0.842009,0.843985,0.846205,0.848646,0.851279,0.854077,0.857009,0.860042,0.863143,0.866279,0.869415,0.872517,0.875550,0.878481,0.881279,0.883913,0.886353,0.888574,0.890550,0.892260,0.893686,0.894811,0.895624,0.896115,0.896279
0.139574,0.881403,0.881238,0.880747,0.879934,0.878809,0.877384,0.875673,0.873697,0.871477,0.869036,0.866403,0.863605,0.860673,0.857640,0.854539,0.851403,0.848267,0.845165,0.842132,0.839201,0.836403,0.833769,0.831329,0.829108,0.827132,0.825422,0.823996,0.822871,0.822058,0.821567,0.821403,0.821567,0.822058,0.822871,0.823996,0.825422,0.827132,0.829108,0.831329,0.833769,0.836403,0.839201,0.842132,0.845165,0.848267,0.851403,0.854539,0.857640,0.860673,0.863605,0.866403,0.869036,0.871477,0.873697,0.875673,0.877384,0.878809,0.879934,0.880747,0.881238,0.881403
0.147234,0.865873,0.865709,0.865218,0.864405,0.863280,0.861854,0.860144,0.858168,0.855947,0.853507,0.850873,0.848075,0.845144,0.842111,0.839009,0.835873,0.832737,0.829636,0.826603,0.823671,0.820873,0.818240,0.815799,0.813579,0.811603,0.809892,0.808467,0.807341,0.806529,0.806038,0.805873,0.806038,0.806529,0.807341,0.808467,0.809892,0.811603,0.813579,0.815799,0.818240,0.820873,0.823671,0.826603,0.829636,0.832737,0.835873,0.839009,0.842111,0.845144,0.848075,0.850873,0.853507,0.855947,0.858168,0.860144,0.861854,0.863280,0.864405,0.865218,0.865709,0.865873
0.154894,0.850620,0.850455,0.849964,0.849151,0.848026,0.846600,0.844890,0.842914,0.840694,0.838253,0.835620,0.832822,0.829890,0.826857,0.823755,0.820620,0.817484,0.814382,0.811349,0.808418,0.805620,0.802986,0.800546,0.798325,0.796349,0.794639,0.793213,0.792088,0.791275,0.790784,0.790620,0.790784,0.791275,0.792088,0.793213,0.794639,0.796349,0.798325,0.800546,0.802986,0.805620,0.808418,0.811349,0.814382,0.817484,0.820620,0.823755,0.826857,0.829890,0.832822,0.835620,0.838253,0.840694,0.842914,0.844890,0.846600,0.848026,0.849151,0.849964,0.850455,0.850620
0.162553,0.836397,0.836232,0.835741,0.834928,0.833803,0.832377,0.830667,0.828691,0.826471,0.824030,0.821397,0.818599,0.815667,0.812634,0.809533,0.806397,0.803261,0.800159,0.797126,0.794195,0.791397,0.788763,0.786323,0.784102,0.782126,0.780416,0.778990,0.777865,0.777052,0.776561,0.776397,0.776561,0.777052,0.777865,0.778990,0.780416,0.782126,0.784102,0.786323,0.788763,0.791397,0.794195,0.797126,0.800159,0.803261,0.806397,0.809533,0.812634,0.815667,0.818599,0.821397,0.824030,0.826471,0.828691,0.830667,0.832377,0.833803,0.834928,0.835741,0.836232,0.836397
0.170213,0.823736,0.823572,0.823081,0.822268,0.821143,0.819717,0.818007,0.816031,0.813810,0.811370,0.808736,0.805938,0.803007,0.799974,0.796872,0.793736,0.790600,0.787499,0.784466,0.781534,0.778736,0.776103,0.773662,0.771442,0.769466,0.767755,0.766330,0.765205,0.764392,0.763901,0.763736,0.763901,0.764392,0.765205,0.766330,0.767755,0.769466,0.771442,0.773662,0.776103,0.778736,0.781534,0.784466,0.787499,0.790600,0.793736,0.796872,0.799974,0.803007,0.805938,0.808736,0.811370,0.813810,0.816031,0.818007,0.819717,0.821143,0.822268,0.823081,0.823572,0.823736
0.177872,0.812937,0.812773,0.812282,0.811469,0.810344,0.808918,0.807208,0.805232,0.803011,0.800571,0.797937,0.795140,0.792208,0.789175,0.786073,0.782937,0.779802,0.776700,0.773667,0.770735,0.767937,0.765304,0.762864,0.760643,0.758667,0.756957,0.755531,0.754406,0.753593,0.753102,0.752937,0.753102,0.753593,0.754406,0.755531,0.756957,0.758667,0.760643,0.762864,0.765304,0.767937,0.770735,0.773667,0.776700,0.779802,0.782937,0.786073,0.789175,0.792208,0.795140,0.797937,0.800571,0.803011,0.805232,0.807208,0.808918,0.810344,0.811469,0.812282,0.812773,0.812937
0.185532,0.804088,0.803924,0.803432,0.802620,0.801494,0.800069,0.798358,0.796382,0.794162,0.791721,0.789088,0.786290,0.783358,0.780325,0.777224,0.774088,0.770952,0.767851,0.764817,0.761886,0.759088,0.756454,0.754014,0.751794,0.749817,0.748107,0.746682,0.745556,0.744743,0.744252,0.744088,0.744252,0.744743,0.745556,0.746682,0.748107,0.749817,0.751794,0.754014,0.756454,0.759088,0.761886,0.764817,0.767851,0.770952,0.774088,0.777224,0.780325,0.783358,0.786290,0.789088,0.791721,0.794162,0.796382,0.798358,0.800069,0.801494,0.802620,0.803432,0.803924,0.804088
0.193191,0.797107,0.796942,0.796451,0.795638,0.794513,0.793087,0.791377,0.789401,0.787181,0.784740,0.782107,0.779309,0.776377,0.773344,0.770243,0.767107,0.763971,0.760869,0.757836,0.754905,0.752107,0.749473,0.747033,0.744812,0.742836,0.741126,0.739700,0.738575,0.737762,0.737271,0.737107,0.737271,0.737762,0.738575,0.739700,0.741126,0.742836,0.744812,0.747033,0.749473,0.752107,0.754905,0.757836,0.760869,0.763971,0.767107,0.770243,0.773344,0.776377,0.779309,0.782107,0.784740,0.787181,0.789401,0.791377,0.793087,0.794513,0.795638,0.796451,0.796942,0.797107
0.200851,0.791798,0.791633,0.791142,0.790329,0.789204,0.787778,0.786068,0.784092,0.781872,0.779431,0.776798,0.774000,0.771068,0.768035,0.764934,0.761798,0.758662,0.755560,0.752527,0.749596,0.746798,0.744164,0.741724,0.739503,0.737527,0.735817,0.734391,0.733266,0.732453,0.731962,0.731798,0.731962,0.732453,0.733266,0.734391,0.735817,0.737527,0.739503,0.741724,0.744164,0.746798,0.749596,0.752527,0.755560,0.758662,0.761798,0.764934,0.768035,0.771068,0.774000,0.776798,0.779431,0.781872,0.784092,0.786068,0.787778,0.789204,0.790329,0.791142,0.791633,0.791798
0.208511,0.787901,0.787737,0.787245,0.786433,0.785307,0.783882,0.782172,0.780195,0.777975,0.775535,0.772901,0.770103,0.767172,0.764138,0.761037,0.757901,0.754765,0.751664,0.748631,0.745699,0.742901,0.740267,0.737827,0.735607,0.733631,0.731920,0.730495,0.729369,0.728557,0.728065,0.727901,0.728065,0.728557,0.729369,0.730495,0.731920,0.733631,0.735607,0.737827,0.740267,0.742901,0.745699,0.748631,0.751664,0.754765,0.757901,0.761037,0.764138,0.767172,0.770103,0.772901,0.775535,0.777975,0.780195,0.782172,0.783882,0.785307,0.786433,0.787245,0.787737,0.787901
0.216170,0.785138,0.784974,0.784483,0.783670,0.782545,0.781119,0.779409,0.777433,0.775212,0.772772,0.770138,0.767341,0.764409,0.761376,0.758274,0.755138,0.752003,0.748901,0.745868,0.742936,0.740138,0.737505,0.735065,0.732844,0.730868,0.729158,0.727732,0.726607,0.725794,0.725303,0.725138,0.725303,0.725794,0.726607,0.727732,0.729158,0.730868,0.732844,0.735065,0.737505,0.740138,0.742936,0.745868,0.748901,0.752003,0.755138,0.758274,0.761376,0.764409,0.767341,0.770138,0.772772,0.775212,0.777433,0.779409,0.781119,0.782545,0.783670,0.784483,0.784974,0.785138
0.223830,0.783245,0.783081,0.782590,0.781777,0.780652,0.779226,0.777516,0.775540,0.773319,0.770879,0.768245,0.765447,0.762516,0.759483,0.756381,0.753245,0.750109,0.747008,0.743975,0.741043,0.738245,0.735612,0.733171,0.730951,0.728975,0.727264,0.725839,0.724714,0.723901,0.723410,0.723245,0.723410,0.723901,0.724714,0.725839,0.727264,0.728975,0.730951,0.733171,0.735612,0.738245,0.741043,0.743975,0.747008,0.750109,0.753245,0.756381,0.759483,0.762516,0.765447,0.768245,0.770879,0.773319,0.775540,0.777516,0.779226,0.780652,0.781777,0.782590,0.783081,0.783245
0.231489,0.781990,0.781826,0.781335,0.780522,0.779397,0.777971,0.776261,0.774285,0.772064,0.769624,0.766990,0.764192,0.761261,0.758228,0.755126,0.751990,0.748854,0.745753,0.742720,0.739788,0.736990,0.734357,0.731916,0.729696,0.727720,0.726010,0.724584,0.723459,0.722646,0.722155,0.721990,0.722155,0.722646,0.723459,0.724584,0.726010,0.727720,0.729696,0.731916,0.734357,0.736990,0.739788,0.742720,0.745753,0.748854,0.751990,0.755126,0.758228,0.761261,0.764192,0.766990,0.769624,0.772064,0.774285,0.776261,0.777971,0.779397,0.780522,0.781335,0.781826,0.781990
0.239149,0.781185,0.781021,0.780530,0.779717,0.778592,0.777166,0.775456,0.773480,0.771259,0.768819,0.766185,0.763387,0.760456,0.757423,0.754321,0.751185,0.748049,0.744948,0.741915,0.738983,0.736185,0.733552,0.731111,0.728891,0.726915,0.725205,0.723779,0.722654,0.721841,0.721350,0.721185,0.721350,0.721841,0.722654,0.723779,0.725205,0.726915,0.728891,0.731111,0.733552,0.736185,0.738983,0.741915,0.744948,0.748049,0.751185,0.754321,0.757423,0.760456,0.763387,0.766185,0.768819,0.771259,0.773480,0.775456,0.777166,0.778592,0.779717,0.780530,0.781021,0.781185
0.246809,0.780686,0.780521,0.780030,0.779217,0.778092,0.776666,0.774956,0.772980,0.770759,0.768319,0.765686,0.762888,0.759956,0.756923,0.753821,0.750686,0.747550,0.744448,0.741415,0.738483,0.735686,0.733052,0.730612,0.728391,0.726415,0.724705,0.723279,0.722154,0.721341,0.720850,0.720686,0.720850,0.721341,0.722154,0.723279,0.724705,0.726415,0.728391,0.730612,0.733052,0.735686,0.738483,0.741415,0.744448,0.747550,0.750686,0.753821,0.756923,0.759956,0.762888,0.765686,0.768319,0.770759,0.772980,0.774956,0.776666,0.778092,0.779217,0.780030,0.780521,0.780686
0.254468,0.780385,0.780221,0.779729,0.778917,0.777791,0.776366,0.774656,0.772679,0.770459,0.768019,0.765385,0.762587,0.759656,0.756622,0.753521,0.750385,0.747249,0.744148,0.741115,0.738183,0.735385,0.732751,0.730311,0.728091,0.726115,0.724404,0.722979,0.721853,0.721041,0.720549,0.720385,0.720549,0.721041,0.721853,0.722979,0.724404,0.726115,0.728091,0.730311,0.732751,0.735385,0.738183,0.741115,0.744148,0.747249,0.750385,0.753521,0.756622,0.759656,0.762587,0.765385,0.768019,0.770459,0.772679,0.774656,0.776366,0.777791,0.778917,0.779729,0.780221,0.780385
0.262128,0.780210,0.780046,0.779554,0.778742,0.777616,0.776191,0.774480,0.772504,0.770284,0.767844,0.765210,0.762412,0.759480,0.756447,0.753346,0.750210,0.747074,0.743973,0.740939,0.738008,0.735210,0.732576,0.730136,0.727916,0.725939,0.724229,0.722804,0.721678,0.720866,0.720374,0.720210,0.720374,0.720866,0.721678,0.722804,0.724229,0.725939,0.727916,0.730136,0.732576,0.735210,0.738008,0.740939,0.743973,0.747074,0.750210,0.753346,0.756447,0.759480,0.762412,0.765210,0.767844,0.770284,0.772504,0.774480,0.776191,0.777616,0.778742,0.779554,0.780046,0.780210
