Metric,Category,n,Description,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type,Reliability_flag
rhomax_MATLAB,Phase Synchrony,18,"Mayer-band phase synchrony (Katahara xcorr, full lag)",0.77,,0.85,,0.87,,1.01,0.0003,0.0046,,1.14,0.0001,0.0046,0.01,,,,,,A,
Coh_mean,Coherence,18,"Mean squared coherence (Mayer band, FFT-based)",0.75,,0.76,,0.76,,0.08,0.6705,0.8568,3.91,0.10,0.8986,0.9627,3.80,,,,,,D,
BRS_TF_mean,BRS (Spectral),12,Transfer function BRS gain (Mayer-band gated),9.08,,7.69,,7.48,,-0.63,0.0269,0.1547,0.62,-0.70,0.0537,0.3444,0.45,,,,,,B,
BRS_seq_all,BRS (Sequence),18,"Sequence BRS gain (all ramps, ms/mmHg)",8.54,5.57,6.49,3.89,7.47,3.41,-0.74,0.0000,0.0005,,-0.30,0.2462,0.7012,2.05,0.42,0.1084,0.7060,,,B,
BRS_seq_down,BRS (Sequence),15,Sequence BRS gain (down ramps: BP-->RRI-),8.98,5.33,6.92,4.41,10.58,8.27,-0.52,0.0256,0.1547,0.78,0.23,0.6397,0.9492,2.71,0.56,0.1205,0.7060,,,B,
BRS_seq_up,BRS (Sequence),18,Sequence BRS gain (up ramps: BP+->RRI+),8.48,6.34,6.27,3.75,6.67,2.78,-0.68,0.0000,0.0005,,-0.39,0.0898,0.3836,1.31,0.19,0.3247,0.8329,,,B,
BEI_all,BEI,18,Baroreflex Effectiveness Index (all),0.27,0.21,0.25,0.19,0.26,0.20,-0.21,0.4683,0.7591,2.90,-0.09,0.6095,0.9492,3.85,0.15,0.5226,0.8329,,,D,
BEI_down,BEI,18,BEI (down sequences),0.20,0.22,0.19,0.18,0.20,0.21,-0.12,0.5226,0.7755,3.67,-0.05,0.7019,0.9627,4.03,0.09,1.0000,1.0000,,,D,
BEI_up,BEI,18,BEI (up sequences),0.34,0.22,0.32,0.22,0.34,0.21,-0.19,0.3927,0.7591,3.09,-0.04,0.7987,0.9627,4.06,0.15,0.4925,0.8329,,,D,
AC,BPRSA,18,Acceleration Capacity (sympathetic proxy),-11.41,6.11,-12.37,6.72,-11.10,5.24,-0.35,0.4171,0.7591,1.62,0.13,0.7019,0.9627,3.59,0.36,0.3247,0.8329,,,D,
