method,direction,contrast,primary_family,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,paired_mean_difference,paired_median_difference,mean_difference_BCa95_low,mean_difference_BCa95_high,wilcoxon_statistic,wilcoxon_p_two_sided,BH_q_primary_family,cohens_dz,negative_difference_n,zero_difference_n,positive_difference_n,evaluable_paired_n,estimability_status
CE,RRI→SBP,Stim-Pre,True,0.015447009502857286,0.028299863294723667,0.026978115263052677,0.03925173493949861,0.023305713861010827,0.03754577819179444,0.011531105760195389,0.0,-0.00322847494950219,0.040748597337664456,33.0,0.38235208985751545,0.7531523647659145,0.26043420711730636,6,5,7,18,ESTIMABLE
CE,RRI→SBP,Post-Pre,False,0.015447009502857286,0.028299863294723667,0.026978115263052677,0.03925173493949861,0.023305713861010827,0.03754577819179444,0.007858704358153543,0.0,-0.005289933989979005,0.031311312983301025,26.0,0.8784817434328712,NA,0.20422271622130672,6,8,4,18,ESTIMABLE
CE,RRI→SBP,Post-Stim,False,0.015447009502857286,0.028299863294723667,0.026978115263052677,0.03925173493949861,0.023305713861010827,0.03754577819179444,-0.0036724014020418478,0.0,-0.01729385731135895,0.019307052602182562,28.0,0.38818640520827785,NA,-0.09522742543913665,7,6,5,18,ESTIMABLE
CE,SBP→RRI,Stim-Pre,True,0.001844630689677205,0.004507467857377459,0.0025916110841340875,0.0051475754190288435,0.0015205050897793445,0.005337869338367032,0.0007469803944568828,0.0,-0.002200530336690025,0.003741524235423477,9.0,0.7531523647659145,0.7531523647659145,0.11054760957901653,3,12,3,18,ESTIMABLE
CE,SBP→RRI,Post-Pre,False,0.001844630689677205,0.004507467857377459,0.0025916110841340875,0.0051475754190288435,0.0015205050897793445,0.005337869338367032,-0.00032412559989786053,0.0,-0.0032064451268105035,0.003607724077146965,6.0,0.6858304344516057,NA,-0.043804904947790074,3,13,2,18,ESTIMABLE
CE,SBP→RRI,Post-Stim,False,0.001844630689677205,0.004507467857377459,0.0025916110841340875,0.0051475754190288435,0.0015205050897793445,0.005337869338367032,-0.0010711059943547434,0.0,-0.0037273391719486013,0.0008937851767313333,3.0,0.4652088184521418,NA,-0.21109572632349102,3,14,1,18,ESTIMABLE
LP,RRI→SBP,Stim-Pre,True,0.2794211076487979,0.16548934580814786,0.286325115815401,0.17887219001358107,0.2524664470987117,0.20151327654775972,0.006904008166603103,0.04486002033726939,-0.10854438379074516,0.0708391218708124,71.0,0.550872802734375,0.7531523647659145,0.03622175242490868,7,0,11,18,ESTIMABLE
LP,RRI→SBP,Post-Pre,False,0.2794211076487979,0.16548934580814786,0.286325115815401,0.17887219001358107,0.2524664470987117,0.20151327654775972,-0.026954660550086256,-0.04830390304208153,-0.11620918030969642,0.044587336067610936,75.0,0.6705245971679688,NA,-0.15174877229052555,10,0,8,18,ESTIMABLE
LP,RRI→SBP,Post-Stim,False,0.2794211076487979,0.16548934580814786,0.286325115815401,0.17887219001358107,0.2524664470987117,0.20151327654775972,-0.03385866871668936,-0.00033915262658469614,-0.12891408682169225,0.05412161424414272,59.0,0.40743445607773554,NA,-0.16499531576167306,9,1,8,18,ESTIMABLE
LP,SBP→RRI,Stim-Pre,True,0.0360668405856855,0.06548398694139335,0.06850154815426965,0.09543828095602451,0.07523192562033688,0.09900230742126445,0.03243470756858415,0.0,-0.01516131457579666,0.09150006909191225,45.0,0.6377666989276032,0.7531523647659145,0.2740316117204305,7,4,7,18,ESTIMABLE
LP,SBP→RRI,Post-Pre,False,0.0360668405856855,0.06548398694139335,0.06850154815426965,0.09543828095602451,0.07523192562033688,0.09900230742126445,0.03916508503465136,0.010672396521853538,-0.001876003622566645,0.09110319679912562,20.0,0.07473549830588254,NA,0.38355936586408584,4,5,9,18,ESTIMABLE
LP,SBP→RRI,Post-Stim,False,0.0360668405856855,0.06548398694139335,0.06850154815426965,0.09543828095602451,0.07523192562033688,0.09900230742126445,0.0067303774660672265,-0.0022152568574776953,-0.05861374794776409,0.07890118780316135,75.0,0.9433920568226559,NA,0.04437986430435333,9,1,8,18,ESTIMABLE
SSC,RRI→SBP,Stim-Pre,True,0.3510198866336258,0.13723848386547374,0.3688561215059225,0.16134533314674313,0.3690185291417833,0.1849836316951047,0.017836234872296748,0.06412282770663214,-0.05978065580269613,0.09233399895102136,73.0,0.6094589233398438,0.7531523647659145,0.10442741769698038,8,0,10,18,ESTIMABLE
SSC,RRI→SBP,Post-Pre,False,0.3510198866336258,0.13723848386547374,0.3688561215059225,0.16134533314674313,0.3690185291417833,0.1849836316951047,0.01799864250815751,0.03170253758938016,-0.07505923883036165,0.1054622768780016,75.0,0.6705245971679688,NA,0.09005209612505947,8,0,10,18,ESTIMABLE
SSC,RRI→SBP,Post-Stim,False,0.3510198866336258,0.13723848386547374,0.3688561215059225,0.16134533314674313,0.3690185291417833,0.1849836316951047,0.00016240763586076087,-0.053194330583290456,-0.06646732368357754,0.09562881897369506,78.0,0.7660293579101562,NA,0.0009221785992172153,11,0,7,18,ESTIMABLE
SSC,SBP→RRI,Stim-Pre,True,0.23682810604469667,0.11536898598660719,0.28562057315898143,0.09979257156963645,0.27129306034936634,0.13223139090615088,0.04879246711428473,0.05172136171040276,0.007224197668051636,0.0929383632405634,44.0,0.0736846923828125,0.442108154296875,0.5042859799432848,5,0,13,18,ESTIMABLE
SSC,SBP→RRI,Post-Pre,False,0.23682810604469667,0.11536898598660719,0.28562057315898143,0.09979257156963645,0.27129306034936634,0.13223139090615088,0.034464954304669684,0.013113369184509671,-0.01911419568235277,0.08979819892622334,58.0,0.24620819091796875,NA,0.279765250269021,7,0,11,18,ESTIMABLE
SSC,SBP→RRI,Post-Stim,False,0.23682810604469667,0.11536898598660719,0.28562057315898143,0.09979257156963645,0.27129306034936634,0.13223139090615088,-0.01432751280961504,-0.005402961958630541,-0.058218486058450244,0.030175804831098933,73.0,0.6094589233398438,NA,-0.14539194097173877,10,0,8,18,ESTIMABLE
