Metric,Comparison,n,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,dz,p_fdr
BEI_up,Stim-Pre,18,0.32413173683335217,0.3401703275878998,-0.016038590754547583,0.43610239816578455,0.39273834228515625,-0.1879961830659034,0.8825080968156646
BEI_up,Post-Pre,18,0.33728844782035705,0.3401703275878998,-0.002881879767542677,0.8800088596465958,0.7987060546875,-0.03612035382582803,0.9736978499615779
BEI_up,Post-Stim,18,0.33728844782035705,0.32413173683335217,0.013156710987004903,0.5318401928757303,0.4924592974852695,0.15042781340584277,0.8825080968156646
BEI_down,Stim-Pre,18,0.19061520040421812,0.20315685478991397,-0.01254165438569589,0.6292808652792048,0.522613525390625,-0.11587404397882987,0.8825080968156646
BEI_down,Post-Pre,18,0.19924413254623155,0.20315685478991397,-0.003912722243682435,0.8501706240219754,0.7018814086914062,-0.04520785978152958,0.9736978499615779
BEI_down,Post-Stim,18,0.19924413254623155,0.19061520040421812,0.008628932142013454,0.7155766176661421,1.0,0.0873307056052197,1.0
BEI_all,Stim-Pre,18,0.25331408211451995,0.2701857748937712,-0.016871692779251195,0.37968512761257756,0.468292236328125,-0.21259171254378223,0.8825080968156646
BEI_all,Post-Pre,18,0.26374103795447595,0.2701857748937712,-0.0064447369392951585,0.6992308451087754,0.6094589233398438,-0.09262224723340384,0.957721165248326
BEI_all,Post-Stim,18,0.26374103795447595,0.25331408211451995,0.010426955839956035,0.5323960159483596,0.522613525390625,0.1502216728455344,0.8825080968156646
n_brs_up,Stim-Pre,18,13.277777777777779,14.166666666666666,-0.8888888888888888,0.3002404851588426,0.4410118365118554,-0.2518440790063999,0.8825080968156646
n_brs_up,Post-Pre,18,14.38888888888889,14.166666666666666,0.2222222222222222,0.8134667614469029,0.8863569267835906,0.05648619911704709,0.9736978499615779
n_brs_up,Post-Stim,18,14.38888888888889,13.277777777777779,1.1111111111111112,0.28634058862797995,0.2083301538198472,0.25945340379649195,0.84857177734375
n_brs_down,Stim-Pre,18,8.5,8.38888888888889,0.1111111111111111,0.8888744275085191,1.0,0.033431807206167424,1.0
n_brs_down,Post-Pre,18,8.722222222222221,8.38888888888889,0.3333333333333333,0.5952631686212122,0.5665188193290125,0.12760691558146273,0.9232158537213536
n_brs_down,Post-Stim,18,8.722222222222221,8.5,0.2222222222222222,0.7556793589049905,0.8413527392369117,0.07453559924999299,0.9736978499615779
BRS_seq_up,Stim-Pre,18,6.2721321266178425,8.479619058748916,-2.207486932131074,0.009919600439863247,1.52587890625e-05,-0.6840172885831554,0.0015106201171875
BRS_seq_up,Post-Pre,18,6.671411266313748,8.479619058748916,-1.8082077924351705,0.1203749462522994,0.0897674560546875,-0.3854331528784322,0.5873674665178572
BRS_seq_up,Post-Stim,18,6.671411266313748,6.2721321266178425,0.3992791396959039,0.435252013091176,0.32472991943359375,0.18835123025611938,0.8825080968156646
BRS_seq_down,Stim-Pre,15,6.920639750439566,9.211477275637252,-2.2908375251976847,0.06316232862733373,0.02557373046875,-0.5210793269204751,0.39376831054687506
BRS_seq_down,Post-Pre,18,10.581264137505668,8.981105590250024,1.6001585472556448,0.3374266557856628,0.6396942138671875,0.23266610212382874,0.9705705313846983
BRS_seq_down,Post-Stim,15,10.229080429923028,6.920639750439566,3.30844067948346,0.04950796642436301,0.12054443359375,0.5551529221755208,0.6119948167067308
BRS_seq_all,Stim-Pre,18,6.486058058059438,8.536766245467902,-2.0507081874084636,0.005964155880506528,2.288818359375e-05,-0.7402088779335922,0.0015106201171875
BRS_seq_all,Post-Pre,18,7.467360758014258,8.536766245467902,-1.0694054874536427,0.2268902406213797,0.24620819091796875,-0.29551878361016803,0.8783643567884292
BRS_seq_all,Post-Stim,18,7.467360758014258,6.486058058059438,0.9813026999548207,0.09479822464746449,0.1083831787109375,0.4170011933056513,0.5961074829101562
DC,Stim-Pre,18,12.870690381931043,11.458159046401509,1.4125313355295346,0.05425835119733703,0.05385589599609375,0.4873160441444239,0.5873674665178572
