Metric,Type,dz_Stim_Pre,dz_Post_Pre,p_Stim_Pre,p_Post_Pre
Mean_RRI,D,0.15771977357189645,-0.44605593899778734,0.522613525390625,0.16735076904296875
SDNN,D,0.035647018082251444,0.29703112563920386,0.7018814086914062,0.14151763916015625
RMSSD,D,0.20272749930255607,0.1024407824122729,0.44229888916015625,0.7018814086914062
pNN50,D,0.1380320572258739,0.024171201336637207,0.7018814086914062,0.831310207979425
pNN20,D,-0.007358106284280706,-0.011470448953421431,1.0,0.8650436401367188
Mean_HR,D,-0.13776712545236816,0.4259045459979802,0.550872802734375,0.1083831787109375
SDHR,C,-0.046460589051304194,0.563686057911338,0.9661178588867188,0.02684783935546875
CV_RRI,D,-0.026697898649932904,0.4198868133754813,0.5798416137695312,0.1083831787109375
Median_RRI,D,0.18918831601332323,-0.4436180558411443,0.522613525390625,0.08142852783203125
IQR_RRI,D,-0.21989951776158534,0.3894752985243089,0.1083831787109375,0.16735076904296875
VLF_power,D,0.24300300952853504,-0.22176092473501857,0.522613525390625,0.8985748291015625
LF_power,D,-0.07408931008360145,0.007385588604783834,0.16735076904296875,0.7337265014648438
HF_power,D,0.3867929957648297,-0.0784619356215101,0.08142852783203125,0.8985748291015625
Total_power,D,0.1388260763325092,-0.06960838985098372,0.6396942138671875,1.0
LF_norm,B,-0.5726476291495892,-0.06722769188660832,0.030364990234375,0.932281494140625
HF_norm,B,0.5726476291495893,0.06722769188660838,0.030364990234375,0.932281494140625
LF_HF_ratio,D,-0.29530943161830286,0.15597082659467396,0.12973785400390625,0.49507904052734375
LF_peak_freq,D,-0.07659056444345304,0.0,0.716689022378584,0.9131732588230485
SD1,D,0.2026831205458316,0.10198773769564064,0.44229888916015625,0.7018814086914062
SD2,D,0.007565972537970013,0.25383535735534307,0.6094589233398438,0.2645263671875
SD1_SD2_ratio,D,0.19061831426149242,-0.004768954483188743,0.6094589233398438,0.5798416137695312
CSI,D,-0.06154378274399032,0.24421784126279955,0.932281494140625,0.3692169189453125
CVI,D,-0.15429493219671953,0.22420067689823472,0.522613525390625,0.30379486083984375
Triangular_index,D,-0.16238648582783421,0.189205642664228,0.468292236328125,0.39273834228515625
SampEn,D,-0.041743269107924585,-0.2849604737426331,0.8985748291015625,0.19638824462890625
ApEn,D,-0.001003907180371596,0.020955234432548778,0.83172607421875,1.0
FuzzyEn,D,-0.12502506727053614,-0.34273161965797827,0.7987060546875,0.16735076904296875
PermEn,D,0.07235831888273031,-0.36176051025511974,0.6396942138671875,0.18146514892578125
MSE_slope,D,-0.01452333929496688,-0.010409859388715397,0.9661178588867188,0.8650436401367188
ShannonEn,D,-0.1359662216318249,0.3059562485084505,0.550872802734375,0.28372955322265625
DFA_alpha1,D,-0.3402402034973025,0.08350255289816923,0.14151763916015625,0.7018814086914062
DFA_alpha2,D,0.12206564821261418,-0.057850937021731975,0.7660293579101562,0.7987060546875
DFA_ratio,D,-0.1634314604564582,0.1560551077653627,0.7660293579101562,0.550872802734375
Hurst_exp,D,-0.16041010227137795,-0.0744237375476358,0.49507904052734375,0.522613525390625
Lyap_max,D,0.002732763366997248,-0.18235391154631636,0.932281494140625,0.39273834228515625
Corr_dim,D,0.18882569019406303,-0.09674074554541592,0.5798416137695312,0.6094589233398438
HFD,D,0.23534059206836566,-0.19921449731809948,0.30379486083984375,0.6094589233398438
KFD,D,0.27952363437805383,-0.0781409248120748,0.550872802734375,0.83172607421875
SDSD,D,0.2026831205458311,0.10198773769564048,0.44229888916015625,0.7018814086914062
NN50,D,0.19979860575472838,0.14307199805879917,0.44522536946454916,0.9811113001780253
NN20,D,-0.028348377714620118,0.21759922056660685,0.8870215326929553,0.7763274368260216
TINN,D,0.11092965925978887,0.014207304398736572,0.775995882689988,0.647236742644139
SI,D,0.3234501327306804,-0.18505337811887487,0.32472991943359375,0.468292236328125
MinHR,D,-0.03467767944069071,0.13205827062758174,1.0,0.8985748291015625
MaxHR,D,-0.05341971402491973,0.2936966123973748,0.468292236328125,0.2121429443359375
lnLF,D,-0.42616739511466534,-0.0037889258845676607,0.08142852783203125,0.83172607421875
lnHF,D,0.31022202302771945,0.08059689394151343,0.14151763916015625,0.932281494140625
lnTP,D,-0.10483250421098227,-0.02949685167305957,0.49507904052734375,1.0
LF_pct,D,-0.4179367590040018,0.06908918058900677,0.14151763916015625,0.7018814086914062
