Metric,Category,n,Description,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type
rhomax_MATLAB,Phase Synchrony,18,"Mayer-band phase synchrony (Katahara xcorr, full lag)",0.77,,0.85,,0.87,,1.01,0.0003,0.005,,1.14,0.0001,,,,,,,A
Coh_mean,Coherence,18,"Mean squared coherence (Mayer band, FFT-based)",0.75,,0.76,,0.76,,0.08,0.6705,0.8568,3.91,0.1,0.8986,,,,,,,D
BRS_TF_mean,BRS (Spectral),12,Transfer function BRS gain (Mayer-band gated),9.08,,7.69,,7.48,,-0.63,0.0269,0.1544,,-0.7,0.0537,,,,,,,-
BRS_seq_all,BRS (Sequence),18,"Sequence BRS gain (all ramps, ms/mmHg)",8.54,5.57,6.49,3.89,7.47,3.41,-0.74,0.0,0.0005,,-0.3,0.2462,0.8784,0.42,0.1084,0.5961,,,B
BRS_seq_down,BRS (Sequence),15,Sequence BRS gain (down ramps: BP-->RRI-),8.98,5.33,6.92,4.41,10.58,8.27,-0.52,0.0256,0.1544,,0.23,0.6397,0.9706,0.56,0.1205,0.612,,,B
BRS_seq_up,BRS (Sequence),18,Sequence BRS gain (up ramps: BP+->RRI+),8.48,6.34,6.27,3.75,6.67,2.78,-0.68,0.0,0.0005,,-0.39,0.0898,0.5874,0.19,0.3247,0.8825,,,-
BEI_all,BEI,18,Baroreflex Effectiveness Index (all),0.27,0.21,0.25,0.19,0.26,0.2,-0.21,0.4683,0.7591,2.88,-0.09,0.6095,0.9577,0.15,0.5226,0.8825,,,D
BEI_down,BEI,18,BEI (down sequences),0.2,0.22,0.19,0.18,0.2,0.21,-0.12,0.5226,0.7755,,-0.05,0.7019,0.9737,0.09,1.0,1.0,,,D
BEI_up,BEI,18,BEI (up sequences),0.34,0.22,0.32,0.22,0.34,0.21,-0.19,0.3927,0.7591,,-0.04,0.7987,0.9737,0.15,0.4925,0.8825,,,D
AC,BPRSA,18,Acceleration Capacity (sympathetic proxy),-11.41,6.11,-12.37,6.72,-11.1,5.24,-0.35,0.4171,0.7591,1.62,0.13,0.7019,0.9737,0.36,0.3247,0.8825,,,D
DC,BPRSA,18,Deceleration Capacity (vagal tone proxy),11.46,6.32,12.87,7.0,10.76,6.03,0.49,0.0539,0.2477,,-0.29,0.2288,0.8627,-0.61,0.0268,0.3938,,,-
DC_AC_ratio,BPRSA,18,DC/AC ratio (autonomic balance),-1.01,0.14,-1.05,0.12,-0.94,0.24,-0.33,0.1815,0.5565,,0.27,0.4171,0.8825,0.42,0.0898,0.5874,,,D
GC_F_BP_to_RRI,Granger Causality (P0),18,Bivariate GC: BP -> RRI (feedforward baroreflex),6.76,,10.16,,7.65,,0.77,0.004,0.0368,,0.25,0.3247,,,,,,,B
GC_F_RRI_to_SBP,Granger Causality (P0),18,Bivariate GC: RRI -> SBP (mechanical feedback),23.32,,27.46,,26.41,,0.69,0.0182,0.1398,,0.36,0.1084,,,,,,,B
SGC_RRI_to_SBP_HF,Spectral GC,18,SGC RRI->SBP (HF),0.18,0.1,0.2,0.12,0.17,0.1,0.26,0.4951,0.7591,,-0.14,0.5798,0.9334,-0.33,0.3465,0.8825,,,D
SGC_RRI_to_SBP_LF,Spectral GC,18,SGC RRI->SBP (LF),0.07,0.03,0.07,0.03,0.07,0.04,-0.1,0.766,0.9035,,-0.17,0.5226,0.8825,-0.05,0.9661,1.0,,,D
SGC_RRI_to_SBP_Mayer,Spectral GC,18,SGC RRI->SBP (Mayer),0.03,0.01,0.02,0.01,0.02,0.01,-0.24,0.3927,0.7591,,-0.26,0.3692,0.8825,0.0,1.0,1.0,,,D
SGC_RRI_to_SBP_VLF,Spectral GC,18,SGC RRI->SBP (VLF),0.01,0.01,0.01,0.01,0.01,0.01,-0.02,1.0,1.0,,0.19,0.3247,0.8825,0.37,0.2645,0.8825,,,D
SGC_RRI_to_SBP_total,Spectral GC,18,Geweke SGC RRI->SBP (total band),0.67,0.31,0.77,0.45,0.67,0.38,0.3,0.3927,0.7591,,-0.0,0.865,0.9737,-0.29,0.4951,0.8825,,,D
SGC_SBP_to_RRI_HF,Spectral GC,18,SGC SBP->RRI (HF 0.15-0.40 Hz),0.08,0.03,0.08,0.04,0.06,0.03,0.07,0.8986,0.9613,,-0.49,0.0599,0.5874,-0.49,0.0814,0.5874,,,-
SGC_SBP_to_RRI_LF,Spectral GC,18,SGC SBP->RRI (LF 0.04-0.15 Hz),0.02,0.01,0.03,0.02,0.03,0.02,0.41,0.2462,0.6292,,0.66,0.0159,0.3938,0.06,0.7337,0.9737,,,C
SGC_SBP_to_RRI_Mayer,Spectral GC,18,SGC SBP->RRI (Mayer 0.08-0.12 Hz),0.01,0.01,0.01,0.01,0.01,0.01,0.36,0.4951,0.7591,,0.61,0.0304,0.4008,0.1,0.4423,0.8825,,,C
SGC_SBP_to_RRI_VLF,Spectral GC,18,SGC SBP->RRI (VLF 0.003-0.04 Hz),0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.9323,0.9747,,-0.04,0.6397,0.9706,-0.06,0.766,0.9737,,,D
SGC_SBP_to_RRI_total,Spectral GC,18,Geweke SGC SBP->RRI (total band),0.39,0.19,0.49,0.42,0.35,0.2,0.26,0.7337,0.8882,,-0.34,0.1084,0.5961,-0.37,0.1415,0.6919,,,D
