Metric,Category,n,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type,Reliability_flag
Mean_RRI,Time Domain,18,855.7,131.46,858.91,132.86,843.35,119.54,0.16,0.5226,0.9674,4.07,-0.45,0.1674,0.743,3.76,-0.59,0.0066,0.5691,7.11,0.0286,D,
SDNN,Time Domain,18,55.29,14.94,55.65,21.71,58.78,18.78,0.04,0.7019,0.9678,4.11,0.3,0.1415,0.743,3.95,0.25,0.1297,0.743,6.78,0.0337,D,
RMSSD,Time Domain,18,40.62,20.11,41.52,23.35,41.46,21.02,0.2,0.4423,0.9674,4.04,0.1,0.7019,0.9678,4.09,-0.01,0.6397,0.9678,0.44,0.8007,D,
pNN50,Time Domain,18,20.14,17.98,20.63,19.15,20.35,18.01,0.14,0.7019,0.9678,4.08,0.02,0.8313,0.9903,4.11,-0.04,0.766,0.9742,0.54,0.7652,D,
pNN20,Time Domain,18,55.46,19.23,55.42,21.04,55.37,18.6,-0.01,1.0,1.0,4.11,-0.01,0.865,0.9903,4.11,-0.01,1.0,1.0,0.11,0.946,D,
Mean_HR,Time Domain,18,72.11,11.76,71.89,11.86,72.99,11.04,-0.14,0.5509,0.9674,4.08,0.43,0.1084,0.743,3.79,0.51,0.0056,0.5691,10.11,0.0064,D,
SDHR,Time Domain,18,4.73,1.33,4.7,1.55,5.2,1.7,-0.05,0.9661,1.0,4.11,0.56,0.0268,0.6741,3.57,0.54,0.0208,0.6741,8.33,0.0155,C,
CV_RRI,Time Domain,18,6.45,1.44,6.42,2.0,6.99,2.03,-0.03,0.5798,0.9678,4.11,0.42,0.1084,0.743,3.8,0.44,0.0432,0.7372,8.33,0.0155,D,
Median_RRI,Time Domain,18,857.11,131.78,861.08,134.99,843.58,121.04,0.19,0.5226,0.9674,4.05,-0.44,0.0814,0.743,3.77,-0.54,0.0182,0.6741,2.33,0.3114,D,
IQR_RRI,Time Domain,18,72.94,21.89,69.88,28.84,80.79,30.95,-0.22,0.1084,0.743,4.03,0.39,0.1674,0.743,3.84,0.68,0.0077,0.5691,10.11,0.0064,D,
SDSD,Time Domain,18,40.68,20.15,41.58,23.39,41.52,21.05,0.2,0.4423,0.9674,4.04,0.1,0.7019,0.9678,4.1,-0.01,0.6397,0.9678,0.44,0.8007,D,
