time_s,tavns_mean,tavns_sem,vc_mean,vc_sem
60.000000,-0.567061,0.047706,-0.675633,0.038652
60.468750,-0.565400,0.047944,-0.675634,0.038686
60.937500,-0.563780,0.048179,-0.675670,0.038719
61.406250,-0.562201,0.048413,-0.675741,0.038750
61.875000,-0.560665,0.048644,-0.675848,0.038779
62.343750,-0.559172,0.048872,-0.675989,0.038806
62.812500,-0.557721,0.049099,-0.676164,0.038832
63.281250,-0.556315,0.049324,-0.676373,0.038856
63.750000,-0.554951,0.049546,-0.676614,0.038879
64.218750,-0.553630,0.049766,-0.676887,0.038900
64.687500,-0.552352,0.049985,-0.677190,0.038920
65.156250,-0.551116,0.050201,-0.677523,0.038939
65.625000,-0.549922,0.050415,-0.677884,0.038955
66.093750,-0.548768,0.050627,-0.678271,0.038971
66.562500,-0.547654,0.050837,-0.678684,0.038984
67.031250,-0.546579,0.051046,-0.679120,0.038997
67.500000,-0.545541,0.051252,-0.679579,0.039007
67.968750,-0.544540,0.051457,-0.680057,0.039016
68.437500,-0.543574,0.051659,-0.680555,0.039024
68.906250,-0.542641,0.051860,-0.681069,0.039030
69.375000,-0.541740,0.052060,-0.681598,0.039034
69.843750,-0.540870,0.052257,-0.682140,0.039037
70.312500,-0.540028,0.052453,-0.682692,0.039038
70.781250,-0.539214,0.052647,-0.683254,0.039037
71.250000,-0.538424,0.052840,-0.683822,0.039035
71.718750,-0.537659,0.053031,-0.684396,0.039031
72.187500,-0.536915,0.053221,-0.684973,0.039025
72.656250,-0.536191,0.053409,-0.685551,0.039018
73.125000,-0.535485,0.053596,-0.686128,0.039010
73.593750,-0.534796,0.053782,-0.686702,0.039000
74.062500,-0.534121,0.053966,-0.687271,0.038988
74.531250,-0.533460,0.054150,-0.687834,0.038975
75.000000,-0.532809,0.054332,-0.688389,0.038960
75.468750,-0.532168,0.054513,-0.688933,0.038944
75.937500,-0.531534,0.054694,-0.689465,0.038927
76.406250,-0.530907,0.054873,-0.689983,0.038909
76.875000,-0.530284,0.055052,-0.690487,0.038889
77.343750,-0.529664,0.055230,-0.690973,0.038869
77.812500,-0.529045,0.055407,-0.691441,0.038848
78.281250,-0.528425,0.055584,-0.691889,0.038825
78.750000,-0.527805,0.055760,-0.692315,0.038803
79.218750,-0.527181,0.055936,-0.692719,0.038779
79.687500,-0.526552,0.056111,-0.693099,0.038755
80.156250,-0.525918,0.056286,-0.693453,0.038731
80.625000,-0.525277,0.056461,-0.693781,0.038707
81.093750,-0.524628,0.056636,-0.694081,0.038683
81.562500,-0.523969,0.056810,-0.694352,0.038659
82.031250,-0.523300,0.056985,-0.694593,0.038636
82.500000,-0.522619,0.057159,-0.694803,0.038613
82.968750,-0.521926,0.057334,-0.694981,0.038591
83.437500,-0.521219,0.057508,-0.695126,0.038571
83.906250,-0.520498,0.057683,-0.695237,0.038551
84.375000,-0.519761,0.057858,-0.695313,0.038534
84.843750,-0.519009,0.058033,-0.695353,0.038518
85.312500,-0.518239,0.058209,-0.695357,0.038505
85.781250,-0.517452,0.058384,-0.695324,0.038494
86.250000,-0.516646,0.058560,-0.695253,0.038486
86.718750,-0.515822,0.058736,-0.695143,0.038482
87.187500,-0.514978,0.058913,-0.694994,0.038481
87.656250,-0.514114,0.059089,-0.694806,0.038485
88.125000,-0.513229,0.059266,-0.694577,0.038493
88.593750,-0.512323,0.059444,-0.694307,0.038506
89.062500,-0.511396,0.059621,-0.693996,0.038525
89.531250,-0.510447,0.059799,-0.693643,0.038551
90.000000,-0.509475,0.059977,-0.693248,0.038582
90.468750,-0.508481,0.060156,-0.692812,0.038622
90.937500,-0.507465,0.060334,-0.692332,0.038669
91.406250,-0.506425,0.060513,-0.691810,0.038724
91.875000,-0.505362,0.060691,-0.691245,0.038789
92.343750,-0.504275,0.060870,-0.690638,0.038863
92.812500,-0.503165,0.061049,-0.689988,0.038948
93.281250,-0.502032,0.061227,-0.689296,0.039043
93.750000,-0.500875,0.061406,-0.688561,0.039150
94.218750,-0.499694,0.061584,-0.687784,0.039269
94.687500,-0.498490,0.061763,-0.686966,0.039401
95.156250,-0.497263,0.061941,-0.686106,0.039545
95.625000,-0.496012,0.062118,-0.685205,0.039704
96.093750,-0.494738,0.062296,-0.684264,0.039876
96.562500,-0.493442,0.062472,-0.683283,0.040063
97.031250,-0.492122,0.062649,-0.682263,0.040264
97.500000,-0.490780,0.062824,-0.681204,0.040481
97.968750,-0.489416,0.062999,-0.680108,0.040713
98.437500,-0.488031,0.063174,-0.678974,0.040960
98.906250,-0.486624,0.063347,-0.677805,0.041222
99.375000,-0.485196,0.063520,-0.676600,0.041500
99.843750,-0.483747,0.063692,-0.675362,0.041793
100.312500,-0.482279,0.063863,-0.674089,0.042102
100.781250,-0.480791,0.064033,-0.672784,0.042425
101.250000,-0.479284,0.064201,-0.671448,0.042763
101.718750,-0.477759,0.064369,-0.670081,0.043115
102.187500,-0.476216,0.064535,-0.668685,0.043481
102.656250,-0.474657,0.064700,-0.667260,0.043860
103.125000,-0.473081,0.064863,-0.665807,0.044252
103.593750,-0.471489,0.065025,-0.664328,0.044657
104.062500,-0.469882,0.065186,-0.662822,0.045072
104.531250,-0.468261,0.065344,-0.661293,0.045499
105.000000,-0.466626,0.065502,-0.659740,0.045936
105.468750,-0.464979,0.065657,-0.658164,0.046383
105.937500,-0.463320,0.065811,-0.656565,0.046838
106.406250,-0.461649,0.065962,-0.654946,0.047301
106.875000,-0.459969,0.066112,-0.653307,0.047772
107.343750,-0.458279,0.066260,-0.651648,0.048249
107.812500,-0.456581,0.066406,-0.649971,0.048733
108.281250,-0.454875,0.066550,-0.648276,0.049221
108.750000,-0.453162,0.066691,-0.646565,0.049714
109.218750,-0.451443,0.066830,-0.644837,0.050210
109.687500,-0.449720,0.066967,-0.643095,0.050710
110.156250,-0.447992,0.067102,-0.641338,0.051212
110.625000,-0.446260,0.067234,-0.639567,0.051716
111.093750,-0.444527,0.067364,-0.637783,0.052222
111.562500,-0.442792,0.067492,-0.635987,0.052728
112.031250,-0.441056,0.067616,-0.634179,0.053234
112.500000,-0.439320,0.067739,-0.632360,0.053739
112.968750,-0.437586,0.067858,-0.630532,0.054244
113.437500,-0.435853,0.067975,-0.628693,0.054748
113.906250,-0.434123,0.068089,-0.626846,0.055250
114.375000,-0.432396,0.068201,-0.624991,0.055750
114.843750,-0.430673,0.068309,-0.623127,0.056247
115.312500,-0.428956,0.068415,-0.621257,0.056742
115.781250,-0.427243,0.068518,-0.619380,0.057234
116.250000,-0.425538,0.068618,-0.617498,0.057722
116.718750,-0.423839,0.068715,-0.615609,0.058207
117.187500,-0.422149,0.068810,-0.613716,0.058687
117.656250,-0.420466,0.068901,-0.611819,0.059164
118.125000,-0.418793,0.068990,-0.609918,0.059637
118.593750,-0.417128,0.069075,-0.608013,0.060106
119.062500,-0.415474,0.069158,-0.606106,0.060570
119.531250,-0.413831,0.069238,-0.604196,0.061029
120.000000,-0.412198,0.069314,-0.602284,0.061484
120.468750,-0.410578,0.069388,-0.600371,0.061935
120.937500,-0.408968,0.069459,-0.598456,0.062380
121.406250,-0.407372,0.069527,-0.596540,0.062821
121.875000,-0.405788,0.069592,-0.594625,0.063257
122.343750,-0.404216,0.069655,-0.592708,0.063688
122.812500,-0.402658,0.069714,-0.590792,0.064114
123.281250,-0.401114,0.069771,-0.588876,0.064536
123.750000,-0.399583,0.069825,-0.586961,0.064952
124.218750,-0.398066,0.069876,-0.585047,0.065364
124.687500,-0.396563,0.069925,-0.583134,0.065771
125.156250,-0.395074,0.069971,-0.581222,0.066173
125.625000,-0.393599,0.070015,-0.579311,0.066571
126.093750,-0.392138,0.070056,-0.577403,0.066964
126.562500,-0.390692,0.070095,-0.575496,0.067353
127.031250,-0.389260,0.070132,-0.573591,0.067737
127.500000,-0.387842,0.070166,-0.571689,0.068117
127.968750,-0.386438,0.070198,-0.569788,0.068492
128.437500,-0.385048,0.070228,-0.567890,0.068863
128.906250,-0.383673,0.070256,-0.565994,0.069230
129.375000,-0.382310,0.070282,-0.564101,0.069592
129.843750,-0.380962,0.070306,-0.562210,0.069951
