time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.455297,-0.455297,-0.455297,-0.455297,-0.455297
60.468750,-0.444864,-0.450080,-0.450080,-0.450080,-0.450080
60.937500,-0.434500,-0.444887,-0.444887,-0.444887,-0.444887
61.406250,-0.424225,-0.439722,-0.439722,-0.439722,-0.439722
61.875000,-0.414060,-0.434589,-0.434589,-0.434589,-0.434589
62.343750,-0.404021,-0.429494,-0.429494,-0.429494,-0.429494
62.812500,-0.394127,-0.424442,-0.424442,-0.424442,-0.424442
63.281250,-0.384395,-0.419436,-0.419436,-0.419436,-0.419436
63.750000,-0.374840,-0.414481,-0.414481,-0.414481,-0.414481
64.218750,-0.365477,-0.409581,-0.409581,-0.409581,-0.409581
64.687500,-0.356320,-0.404739,-0.404739,-0.404739,-0.404739
65.156250,-0.347381,-0.399959,-0.399959,-0.399959,-0.399959
65.625000,-0.338671,-0.395244,-0.395244,-0.395244,-0.395244
66.093750,-0.330200,-0.390598,-0.390598,-0.390598,-0.390598
66.562500,-0.321975,-0.386024,-0.386024,-0.386024,-0.386024
67.031250,-0.314006,-0.381522,-0.381522,-0.381522,-0.381522
67.500000,-0.306296,-0.377097,-0.377097,-0.377097,-0.377097
67.968750,-0.298850,-0.372750,-0.372750,-0.372750,-0.372750
68.437500,-0.291672,-0.368483,-0.368483,-0.368483,-0.368483
68.906250,-0.284764,-0.364297,-0.364297,-0.364297,-0.364297
69.375000,-0.278126,-0.360194,-0.360194,-0.360194,-0.360194
69.843750,-0.271758,-0.356174,-0.356174,-0.356174,-0.356174
70.312500,-0.265658,-0.352238,-0.352238,-0.352238,-0.352238
70.781250,-0.259823,-0.348388,-0.348388,-0.348388,-0.348388
71.250000,-0.254251,-0.344622,-0.344622,-0.344622,-0.344622
71.718750,-0.248937,-0.340942,-0.340942,-0.340942,-0.340942
72.187500,-0.243874,-0.337347,-0.337347,-0.337347,-0.337347
72.656250,-0.239058,-0.333837,-0.333837,-0.333837,-0.333837
73.125000,-0.234482,-0.330411,-0.330411,-0.330411,-0.330411
73.593750,-0.230138,-0.327068,-0.327068,-0.327068,-0.327068
74.062500,-0.226018,-0.323809,-0.323809,-0.323809,-0.323809
74.531250,-0.222114,-0.320631,-0.320631,-0.320631,-0.320631
75.000000,-0.218418,-0.317533,-0.317533,-0.317533,-0.317533
75.468750,-0.214919,-0.314515,-0.314515,-0.314515,-0.314515
75.937500,-0.211611,-0.311575,-0.311575,-0.311575,-0.311575
76.406250,-0.208482,-0.308711,-0.308711,-0.308711,-0.308711
76.875000,-0.205524,-0.305922,-0.305922,-0.305922,-0.305922
77.343750,-0.202728,-0.303207,-0.303207,-0.303207,-0.303207
77.812500,-0.200084,-0.300563,-0.300563,-0.300563,-0.300563
