time_s,raw,expanding_mean,rm_90s
60.000000,-0.630489,-0.630489,-0.630489
60.468750,-0.634187,-0.632338,-0.632338
60.937500,-0.638051,-0.634242,-0.634242
61.406250,-0.642069,-0.636199,-0.636199
61.875000,-0.646230,-0.638205,-0.638205
62.343750,-0.650523,-0.640258,-0.640258
62.812500,-0.654934,-0.642355,-0.642355
63.281250,-0.659452,-0.644492,-0.644492
63.750000,-0.664062,-0.646666,-0.646666
64.218750,-0.668750,-0.648874,-0.648874
64.687500,-0.673502,-0.651113,-0.651113
65.156250,-0.678305,-0.653379,-0.653379
65.625000,-0.683143,-0.655669,-0.655669
66.093750,-0.688002,-0.657978,-0.657978
66.562500,-0.692869,-0.660304,-0.660304
67.031250,-0.697729,-0.662643,-0.662643
67.500000,-0.702570,-0.664992,-0.664992
67.968750,-0.707377,-0.667347,-0.667347
68.437500,-0.712140,-0.669704,-0.669704
68.906250,-0.716846,-0.672061,-0.672061
69.375000,-0.721485,-0.674415,-0.674415
69.843750,-0.726046,-0.676762,-0.676762
70.312500,-0.730521,-0.679099,-0.679099
70.781250,-0.734900,-0.681424,-0.681424
71.250000,-0.739176,-0.683734,-0.683734
71.718750,-0.743343,-0.686027,-0.686027
72.187500,-0.747394,-0.688300,-0.688300
72.656250,-0.751326,-0.690551,-0.690551
73.125000,-0.755134,-0.692778,-0.692778
73.593750,-0.758815,-0.694979,-0.694979
74.062500,-0.762366,-0.697153,-0.697153
74.531250,-0.765786,-0.699298,-0.699298
75.000000,-0.769074,-0.701412,-0.701412
75.468750,-0.772231,-0.703495,-0.703495
75.937500,-0.775255,-0.705545,-0.705545
76.406250,-0.778149,-0.707562,-0.707562
76.875000,-0.780914,-0.709544,-0.709544
77.343750,-0.783552,-0.711492,-0.711492
77.812500,-0.786065,-0.713404,-0.713404
78.281250,-0.788456,-0.715280,-0.715280
78.750000,-0.790728,-0.717121,-0.717121
79.218750,-0.792884,-0.718925,-0.718925
79.687500,-0.794928,-0.720692,-0.720692
80.156250,-0.796862,-0.722423,-0.722423
80.625000,-0.798692,-0.724118,-0.724118
81.093750,-0.800421,-0.725777,-0.725777
81.562500,-0.802053,-0.727400,-0.727400
82.031250,-0.803591,-0.728987,-0.728987
82.500000,-0.805039,-0.730539,-0.730539
82.968750,-0.806402,-0.732056,-0.732056
83.437500,-0.807683,-0.733539,-0.733539
83.906250,-0.808887,-0.734988,-0.734988
84.375000,-0.810015,-0.736404,-0.736404
84.843750,-0.811073,-0.737787,-0.737787
85.312500,-0.812064,-0.739137,-0.739137
85.781250,-0.812991,-0.740456,-0.740456
86.250000,-0.813857,-0.741744,-0.741744
86.718750,-0.814666,-0.743001,-0.743001
87.187500,-0.815419,-0.744228,-0.744228
87.656250,-0.816121,-0.745427,-0.745427
88.125000,-0.816774,-0.746596,-0.746596
88.593750,-0.817380,-0.747738,-0.747738
89.062500,-0.817942,-0.748852,-0.748852
89.531250,-0.818462,-0.749940,-0.749940
90.000000,-0.818942,-0.751001,-0.751001
90.468750,-0.819384,-0.752038,-0.752038
90.937500,-0.819789,-0.753049,-0.753049
91.406250,-0.820160,-0.754036,-0.754036
91.875000,-0.820498,-0.754999,-0.754999
92.343750,-0.820804,-0.755939,-0.755939
92.812500,-0.821079,-0.756857,-0.756857
93.281250,-0.821325,-0.757752,-0.757752
93.750000,-0.821541,-0.758626,-0.758626
94.218750,-0.821730,-0.759478,-0.759478
94.687500,-0.821891,-0.760311,-0.760311
95.156250,-0.822025,-0.761123,-0.761123
95.625000,-0.822132,-0.761915,-0.761915
96.093750,-0.822212,-0.762688,-0.762688
96.562500,-0.822266,-0.763442,-0.763442
97.031250,-0.822292,-0.764178,-0.764178
97.500000,-0.822292,-0.764895,-0.764895
97.968750,-0.822263,-0.765595,-0.765595
98.437500,-0.822207,-0.766277,-0.766277
98.906250,-0.822120,-0.766942,-0.766942
99.375000,-0.822004,-0.767590,-0.767590
99.843750,-0.821857,-0.768221,-0.768221
100.312500,-0.821677,-0.768835,-0.768835
100.781250,-0.821463,-0.769433,-0.769433
101.250000,-0.821213,-0.770015,-0.770015
101.718750,-0.820927,-0.770581,-0.770581
102.187500,-0.820601,-0.771130,-0.771130
102.656250,-0.820235,-0.771664,-0.771664
103.125000,-0.819825,-0.772182,-0.772182
103.593750,-0.819371,-0.772684,-0.772684
104.062500,-0.818868,-0.773170,-0.773170
104.531250,-0.818316,-0.773640,-0.773640
105.000000,-0.817710,-0.774095,-0.774095
105.468750,-0.817050,-0.774533,-0.774533
105.937500,-0.816331,-0.774955,-0.774955
106.406250,-0.815551,-0.775361,-0.775361
106.875000,-0.814708,-0.775751,-0.775751
107.343750,-0.813798,-0.776124,-0.776124
107.812500,-0.812818,-0.776480,-0.776480
108.281250,-0.811765,-0.776819,-0.776819
108.750000,-0.810637,-0.777141,-0.777141
109.218750,-0.809429,-0.777446,-0.777446
109.687500,-0.808141,-0.777733,-0.777733
110.156250,-0.806767,-0.778002,-0.778002
110.625000,-0.805307,-0.778252,-0.778252
111.093750,-0.803756,-0.778484,-0.778484
111.562500,-0.802112,-0.778697,-0.778697
